retrieved	oa_status	doi	bioproject	title
x	hybrid	10.1104/pp.20.00773	PRJNA553311	Transcriptome Sequencing of Different Ploidy Wheat
x	hybrid	10.1105/tpc.17.00764	PRJNA407369	Time series transcriptional profiling of Ustilago maydis infecting Zea mays
x	hybrid	10.1105/tpc.19.00806	PRJNA574280	Global transcriptome of Helianthus annuus, Beta vulgaris, Ricinus communis and Phaseolus vulgaris healthy plants and plant infected by the fungal pathogen Sclerotinia sclerotiorum (strain 1980)
x	hybrid	10.1111/nph.15904	PRJNA492913	Transcriptional dynamics in multipartite fungus-plant interactions : H. vulgare, S. vermifera, B. sorokiniana Raw sequence reads
x	hybrid	10.1111/nph.19448	PRJNA979257	The fungal pathogen Ustilago maydis targets the maize corepressor RELK2 to modulate host transcription for tumorigenesis
x	hybrid	10.1111/nph.19864	PRJEB65589	How to curtail the rise in wheat stem rust infections in western Europe
x	hybrid	10.1111/nph.19967	PRJNA1129295	RNA-seq of Topless interacting protein effectors
x	hybrid	10.1111/pce.15037	PRJNA944941	Xanthomonas citri pv fuscans transcriptomic changes during the contamination of Phaseolus vulgaris seeds
x	hybrid	10.1111/ppa.13398	PRJNA655998	Zfp1, a putative Zn(II)2Cys6 transcription factor, influences Ustilago maydis pathogenesis at multiple stages
x	hybrid	10.1111/ppa.14111	PRJNA910335	Genome sequencing and RNA-sequencing of Rhynchosporium commune WAI453
x	hybrid	10.1111/tpj.15630	PRJNA828454	Transcriptomic responses to phosphate limitation in maize lines with different breeding history
x	hybrid	10.1111/tpj.16978	PRJNA1018253	LsRTDv1, a reference transcript dataset for accurate transcript-specific RNA-seq analysis in lettuce
x	hybrid	10.1111/tpj.71018	PRJNA1366440	Discovery of pseudobaptigenin synthase in fungal-infected Trifolium pratense roots.
x	closed	10.1080/00275514.2019.1607135	PRJNA486288	Population genomics and gene expression analysis of Fusarium Head Blight (FHB)
x	closed	10.1101/859728	PRJNA588102	Distinct Life Histories Impact Dikaryotic Genome Evolution in the Rust Fungus Puccinia striiformis Causing Stripe Rust in Wheat.
x	closed	10.6084/m9.figshare.28856261	PRJNA1248058	Chromosome-scale assembly and annotation of Phytophthora capsici isolate BYA5.
x	closed	10.1111/nph.18164	PRJNA293594	Whole-transcriptome RNA-seq analysis of different developmental stages of Fusarium graminearum
x	closed	10.1046/j.1364-3703.2003.00190.x	PRJNA253086	Isolation and characterization of genes differentially expressed during the interaction between apple fruit and Penicillium expansum.
x	closed	10.1111/nph.15221	PRJNA448328	Investigations on VELVET regulatory mutants confirm the role of host tissue acidification and secretion of proteins in the pathogenesis of Botrytis cinerea.
unavailable	closed	10.1016/j.chom.2026.02.001	PRJNA1315207	Bacterial entrapment of a fungal carbon repressor prevents plant colonization
updated doi from journal	closed	10.1101/510404v1	PRJNA254725	Transcriptional responses of the Bdtf1-deletion mutant to the phytoalexin brassinin in the necrotrophic fungus Alternaria brassicicola.
x	closed	10.3389/fmicb.2024.1418816	PRJNA932159	Transcriptomic analysis reveals pathogenicity mechanisms of Phytophthora capsici in black pepper.
x	closed	10.1111/jipb.70241	PRJNA1202856	Fusarium graminearum Raw sequence reads
x	closed	10.1111/ppa.70085	PRJNA397359	Transcriptome Analysis of Tomato Leaf Spot Pathogen Fusarium proliferatum: De novo Assembly, Expression Profiling, and Identification of Candidate Effectors.
x	closed	10.1007/s11427-024-2780-4	PRJNA1083222	Chromatin dynamics of Phytophthora during host infection [RNA-seq]
x	closed	10.1101/350785	PRJNA436064	Cochliobolus heterostrophus race O whole transcriptome
no results	closed	10.1101/2026.05.09.724051	PRJNA1457771	Identification of AvrYr7 in Pst
x	closed	10.1111/nph.18117	PRJNA721132	Pyricularia oryzae CHIP-seq and RNA-seq
x	closed	10.1094/PHYTO-12-24-0397-R	PRJNA1122550	Transcriptional analysis of Botrytis cinerea treated by hydroxychloroquine
unavailable	closed	10.1101/2026.04.23.720444	PRJNA1454804	RNA-seq data supporting gene prediction in haplotype-phased assemblies of Melampsora larici-populina and Melampsora allii-populina
