bp	setting	n_runs	coinf_rate	coinf_rate_hc
PRJNA516028	lab	25	0.0	0.0
PRJNA694214	lab	9	0.0	0.0
PRJNA844585	lab	8	0.0	0.0
PRJNA644240	lab	7	0.0	0.0
PRJNA909570	lab	1	0.0	0.0
PRJEB8798	lab	20	0.0	0.0
PRJNA786373	lab	9	0.0	0.0
PRJNA245071	lab	3	0.0	0.0
PRJNA372589	lab	1	0.0	0.0
PRJNA415282	lab	5	0.0	0.0
PRJNA591157	lab	3	0.0	0.0
PRJNA601001	lab	12	0.0	0.0
PRJNA1101711	lab	9	0.0	0.0
PRJNA1256908	lab	2	0.0	0.0
PRJNA1181034	lab	1	0.0	0.0
PRJNA372582	lab	1	0.0	0.0
PRJNA874673	lab	2	0.0	0.0
PRJNA1158549	lab	18	0.0	0.0
PRJNA357960	lab	1	0.0	0.0
PRJNA673988	lab	7	0.0	0.0
PRJNA1287296	lab	2	0.0	0.0
PRJNA803733	lab	6	0.0	0.0
PRJNA529541	lab	12	0.0	0.0
PRJNA1063333	field	36	0.0	0.0
PRJNA646251	lab	6	0.0	0.0
PRJNA1246341	lab	3	0.0	0.0
PRJNA345005	lab	2	0.0	0.0
PRJNA526829	lab	60	0.0	0.0
PRJNA565800	lab	4	0.0	0.0
PRJNA671670	lab	9	0.0	0.0
PRJNA372591	lab	1	0.0	0.0
PRJNA672111	lab	1	0.0	0.0
PRJNA853492	lab	21	0.0	0.0
PRJNA664705	lab	10	0.0	0.0
PRJNA441049	lab	1	0.0	0.0
PRJEB22223	lab	12	0.0	0.0
PRJNA295929	lab	1	0.0	0.0
PRJNA373349	lab	1	0.0	0.0
PRJEB30662	lab	5	0.0	0.0
PRJNA692809	lab	1	0.0	0.0
PRJNA532644	lab	5	0.0	0.0
PRJNA904717	lab	1	0.0	0.0
PRJNA713956	lab	1	0.0	0.0
PRJNA698760	lab	1	0.0	0.0
PRJNA352824	lab	3	0.0	0.0
PRJNA1064071	lab	6	0.0	0.0
PRJNA938757	lab	2	0.0	0.0
PRJNA863277	lab	4	0.0	0.0
PRJNA1122186	lab	6	0.0	0.0
PRJNA832871	lab	12	0.0	0.0
PRJNA179498	lab	1	0.0	0.0
PRJNA1145503	lab	4	0.0	0.0
PRJNA393407	lab	3	0.0	0.0
PRJNA259589	lab	1	0.0	0.0
PRJNA177586	lab	4	0.0	0.0
PRJDB15953	lab	2	0.0	0.0
PRJNA396467	lab	10	0.0	0.0
PRJNA527147	lab	6	0.0	0.0
PRJNA944941	lab	7	0.0	0.0
PRJNA371695	lab	4	0.0	0.0
PRJNA372598	lab	1	0.0	0.0
PRJNA545805	lab	1	0.0	0.0
PRJNA799676	lab	12	0.0	0.0
PRJNA441161	lab	1	0.0	0.0
PRJNA870298	lab	1	0.0	0.0
PRJNA622764	lab	6	0.0	0.0
PRJNA556310	lab	4	0.0	0.0
PRJNA299335	lab	3	0.0	0.0
PRJNA501892	lab	18	0.0	0.0
PRJEB46991	lab	1	0.0	0.0
PRJNA300619	lab	1	0.0	0.0
PRJNA373361	lab	1	0.0	0.0
PRJNA326901	lab	11	0.0	0.0
PRJNA1122550	lab	7	0.0	0.0
PRJNA297400	lab	2	0.0	0.0
PRJEB55233	lab	12	0.0	0.0
PRJNA246736	lab	3	0.0	0.0
PRJNA441163	lab	1	0.0	0.0
PRJNA441162	lab	1	0.0	0.0
PRJEB51980	lab	23	0.0	0.0
PRJNA477716	lab	2	0.0	0.0
PRJNA383862	lab	6	0.0	0.0
PRJNA419480	lab	4	0.0	0.0
PRJNA1188614	lab	3	0.0	0.0
PRJNA646633	lab	1	0.0	0.0
PRJNA392846	lab	1	0.0	0.0
PRJNA473305	lab	3	0.0	0.0
PRJNA311604	lab	12	0.0	0.0
PRJNA774504	lab	1	0.0	0.0
PRJNA1100184	lab	2	0.0	0.0
PRJNA418175	lab	6	0.0	0.0
PRJNA441175	lab	1	0.0	0.0
PRJNA396589	lab	1	0.0	0.0
PRJNA804666	lab	1	0.0	0.0
PRJNA1166635	lab	9	0.0	0.0
PRJDB41276	lab	6	0.0	0.0
PRJNA915611	lab	3	0.0	0.0
PRJNA441170	lab	1	0.0	0.0
PRJNA169154	lab	1	0.0	0.0
PRJNA1043471	lab	6	0.0	0.0
PRJNA506360	lab	6	0.0	0.0
PRJNA441164	lab	1	0.0	0.0
PRJNA373353	lab	1	0.0	0.0
PRJNA1435232	lab	4	0.0	0.0
PRJNA751374	lab	15	0.0	0.0
PRJNA373354	lab	1	0.0	0.0
PRJNA382499	lab	4	0.0	0.0
PRJNA985902	lab	1	0.0	0.0
PRJNA637940	lab	2	0.0	0.0
PRJNA379426	lab	3	0.0	0.0
PRJNA372585	lab	1	0.0	0.0
PRJNA372580	lab	1	0.0	0.0
PRJNA787799	lab	3	0.0	0.0
PRJNA441157	lab	1	0.0	0.0
PRJNA604447	lab	8	0.0	0.0
PRJNA1111437	lab	3	0.0	0.0
PRJNA987192	lab	2	0.0	0.0
PRJNA630379	lab	18	0.0	0.0
PRJNA373363	lab	1	0.0	0.0
PRJNA1082681	lab	6	0.0	0.0
PRJNA358831	lab	6	0.0	0.0
PRJNA306679	lab	6	0.0	0.0
PRJNA329579	lab	1	0.0	0.0
PRJNA355407	field	3	0.0	0.0
PRJNA552738	lab	2	0.0	0.0
PRJNA441158	lab	1	0.0	0.0
