run	biosample	rank	n_pathogens	n_cryptic	coinfection	declared_taxids	declared_names	stress	setting	coinf_intent
ERR13107174	SAMEA115577693	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13107174	SAMEA115577693	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13107178	SAMEA115577694	species	2	1	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13107178	SAMEA115577694	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13107216	SAMEA115577697	species	2	1	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13107216	SAMEA115577697	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13107472	SAMEA115577699	species	2	1	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13107472	SAMEA115577699	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13108582	SAMEA115577700	species	2	1	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13108582	SAMEA115577700	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13108595	SAMEA115577701	species	2	1	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13108595	SAMEA115577701	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13108602	SAMEA115577702	species	2	1	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13108602	SAMEA115577702	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13148713	SAMEA115652373	species	11	10	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13148713	SAMEA115652373	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13148999	SAMEA115652374	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13148999	SAMEA115652374	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
