run	analyzed	fungi_pct	viruses_pct	bacteria_pct	oomycota_pct	nematoda_pct
SRR12149179	47453061	21.5138	0.0	1.3856	0.0	0.0
SRR22756187	39407874	0.0	0.0	0.6967	0.0	0.0
SRR31647329	9072058	0.5256	0.0	1.5484	0.0	0.0
SRR2134893	62527298	0.0	0.0	0.0	0.0	0.0
ERR789378	39201173	35.6821	0.0	0.0	0.0	0.0
SRR1576784	32762085	18.2697	0.0	1.2428	0.0	0.0
SRR3233285	35157224	0.6077	0.0	0.4455	0.0	0.0
SRR7251386	28218001	0.0	0.0	0.0	0.0	0.0
SRR12676687	26583549	35.9281	0.0	0.7698	0.0	0.0
SRR33330108	35856874	34.5534	0.0	4.1059	0.0	0.0
ERR4315202	18597776	0.0	0.1018	10.8852	0.0	0.0
SRR22756164	40293332	0.1637	0.0	0.3583	0.0	0.0
SRR17137499	230467835	0.0	0.0	6.4042	0.1081	0.0
ERR3188431	20254390	1.5696	0.0	6.6137	0.0	0.0
SRR33330118	23875143	0.0	0.0	10.7007	0.0	0.0
SRR1258177	24972463	0.0	0.0	71.2507	0.0	0.0
ERR4315464	18123622	0.0	0.0	25.5406	0.0	0.0
SRR6942184	41645565	21.5402	0.0	0.0	0.0	0.0
ERR4315179	19668494	0.3232	0.0	5.9961	0.0	0.0
SRR10201806	18536185	10.2411	3.258	0.0	0.0	0.0
SRR18253626	49246469	0.0	0.0	0.4473	0.0	0.0
SRR28258096	17437260	76.699	0.0	0.944	0.0	0.0
SRR29057061	62145461	42.6483	0.0	0.9918	0.0	0.0
ERR1905215	328206	0.0	0.0	78.5717	0.0	0.0
ERR1224567	14211509	0.0	0.0	0.0	0.0	0.0
ERR3383634	26844946	2.7906	0.0	12.5761	0.0	0.0
ERR5960068	17201083	0.6698	0.0	1.2099	0.0	0.0
ERR4761828	23568180	0.0	0.0	2.9968	0.0	0.0
ERR1607814	24019592	0.765	0.0	0.4989	0.0	0.0
ERR1905214	3883986	0.0	0.0	78.3829	0.0	0.0
SRR6221904	38079704	0.0	0.0	1.6275	0.1363	0.0
SRR11347471	24886330	1.0694	0.0	0.404	0.0	0.0
ERR15005533	23603255	27.6008	0.7047	12.4404	0.0	0.0
SRR10897982	7198700	0.4648	0.0	4.3704	0.0	0.0
SRR18253493	58728440	0.0	0.0	0.4626	0.0	0.0
SRR19880688	5988306	6.246	0.0	0.2632	0.0	0.0
SRR24010249	38131192	5.2041	0.0	18.2248	0.0	0.0
SRR28258201	36144757	10.555	0.0	1.1603	0.0	0.0
SRR28728937	48623271	1.7624	0.0	1.9457	0.0	0.0
SRR33379596	9048429	0.0	0.0	0.1554	0.0	0.0
SRR31200168	36494803	0.0	0.0	0.1681	0.0	0.0
SRR35750202	7678966	0.0	0.0	90.7462	0.0	0.0
SRR6942239	50956539	0.5682	0.0	0.0	0.0	0.0
ERR13107205	22818124	0.1223	0.0	0.4586	0.0	0.0
SRR29057282	26634243	49.8361	0.8968	13.7202	0.0	0.0
ERR1224592	22675967	0.0	0.0	2.1061	0.0	0.0
SRR27895709	18175153	56.5208	0.0	0.8282	0.0	0.0
SRR6242055	83889930	0.2346	0.0	13.7024	0.0	0.0
ERR6548385	33322990	0.0	0.0	0.8044	0.0	0.0
