run	analyzed	fungi_pct	viruses_pct	bacteria_pct	oomycota_pct	nematoda_pct
SRR10448323	631522	1.5537	0.0	76.7793	0.0	0.0
SRR37723738	24268366	0.0	3.3044	0.2751	0.0	0.0
SRR8178070	96808529	0.0	0.0	0.5876	0.0	0.0
SRR30357899	52897871	0.1447	3.5162	0.1229	0.0	0.0
SRR38897773	20926293	0.1354	29.463	0.6245	0.0	0.0
SRR15607740	22871280	0.0	0.0	2.0754	12.8521	0.0
SRR7518010	26679170	0.0	5.2004	0.0	0.0	0.0
SRR7507951	4140503	0.0	2.1971	1.1603	0.0	0.0
SRR6398519	2443470	0.1257	82.3415	8.2867	0.0	0.0
SRR11622375	368523	0.0	52.7473	0.4133	0.0	0.0
SRR23086055	23125071	0.0	1.8094	0.3236	0.0	0.0
SRR29012073	25021040	0.0	4.5534	0.2399	0.0	0.0
SRR31258096	23234397	0.0	19.2905	0.3267	0.0	0.0
SRR23852738	35173	0.0	48.8159	0.7108	0.0	0.0
SRR12054324	27400929	15.0005	0.0	0.2819	0.0	0.0
SRR29384955	36151046	1.9696	0.0	0.7841	0.0	0.0
SRR21021796	23446705	0.0	1.4848	0.2019	0.0	0.0
SRR7265018	1577580	2.856	0.0	0.0	0.0	0.0
SRR9854246	22162468	0.0	2.3619	0.0	0.0	0.0
SRR17916434	15940731	27.5959	0.0	0.8529	0.0	0.0
SRR36824219	23287588	7.3778	0.0	2.6298	0.0	0.0
SRR27323284	7800578	0.0	22.6118	1.2337	0.0	0.0
SRR9937195	210789033	1.4897	0.0	0.2712	0.0	0.0
DRR858074	80124135	18.1231	0.0	1.8879	0.0	0.0
ERR6352840	41288757	0.0	0.0	6.8667	0.0	0.0
SRR36367300	41027298	11.6212	0.173	8.4705	0.0	0.0
SRR21197578	25138916	0.0	2.6853	0.8685	0.0	0.0
SRR26035213	61676098	14.8654	0.0	0.4442	0.0	0.0
SRR24768929	37832325	3.7805	0.0	2.5277	0.0	0.0
DRR997367	19583355	0.0	2.9357	0.9846	0.0	0.0
SRR29665067	20788199	1.9954	0.0	0.9756	0.0	0.0
SRR10990211	26280795	0.0	16.6226	0.1225	0.0	0.0
SRR21021696	39176855	0.0	1.0127	0.566	0.0	0.0
SRR32622398	18562465	2.447	0.0	0.1512	0.0	0.0
SRR7266061	2457685	3.1489	0.0	0.0	0.0	0.0
SRR20750875	1234056	0.0	3.0666	2.1067	0.0	0.0
SRR34697339	21618648	1.5472	0.0	1.9119	0.0	0.0
SRR38317305	18969595	17.2716	0.7063	0.984	0.0	0.0
SRR7264800	2141550	1.5039	0.0	0.0	0.0	0.0
DRR1032724	36993540	0.0	3.0079	0.1593	0.0	0.0
SRR9593743	24140605	0.0	16.2049	0.3641	0.0	0.0
SRR20750829	485887	0.0	3.9526	2.1141	0.0	0.0
SRR36292470	38227024	10.0619	0.0	4.8189	0.0	0.0
SRR25522948	38187819	0.0	0.0	2.979	0.0	0.0
DRR737011	23909327	0.0	1.5241	0.0	0.0	0.0
SRR7518020	26679170	0.0	4.9804	0.0	0.0	0.0
SRR15564995	21892274	0.2756	3.8938	0.2111	0.0	0.0
SRR11091421	16102808	0.0	2.045	0.4625	0.0	0.0
SRR36164308	22176032	0.0	1.9075	0.8121	0.0	0.0
SRR22973893	31876678	7.8748	0.0	0.9657	0.0	0.0
SRR7508015	4716218	0.0	4.8415	0.1828	0.0	0.0
SRR10769484	27148410	1.4125	0.0	0.9085	0.0	0.0
SRR23951518	23370493	0.0	1.2701	3.0221	0.0	0.0
SRR7408207	47777741	8.0602	0.0	0.0	0.0	0.0
DRR737903	21237835	0.0	1.2721	0.2113	0.0	0.0
SRR33846330	22811326	2.8249	0.0	0.3685	0.0	0.0
SRR13590448	24125750	2.0937	0.0	0.5166	0.0	0.0
SRR22858672	22759511	0.0	10.4094	1.3278	0.0	0.0
SRR29496807	22401902	1.5174	0.0	2.3356	0.0	0.0
ERR4329559	79468405	2.5461	0.0	0.0	0.0	0.0
SRR7266126	1534008	9.0828	0.0	0.0	0.0	0.0
SRR12158734	46365830	0.0	5.1324	0.0	0.0	0.0
SRR31851393	32251675	39.491	0.0	0.4235	0.0	0.0
SRR30859957	23389868	0.3701	8.8147	0.6966	0.0	0.0
SRR7508042	4722165	0.0	2.7362	0.0	0.0	0.0
SRR8080644	22168481	0.0	10.7398	0.0	0.0	0.0
SRR17332342	28061285	0.0	0.0	26.4864	0.0	0.0
SRR27373713	43193070	0.0	68.4553	0.5846	0.0	0.0
SRR28797216	22737260	0.0	10.1768	0.2227	0.0	0.0
SRR36802771	24900104	98.0617	0.0	0.1423	0.0	0.0
SRR37244498	24100994	5.1065	0.0	0.3499	0.0	0.0
SRR23758652	25154098	0.0	0.0	0.226	6.8311	0.0
SRR7267210	1950375	5.0608	0.0	0.0	0.0	0.0
ERR15076289	37203322	0.0	0.0	2.2707	0.0	0.0
SRR38924907	35545619	12.4744	0.0	0.588	0.0	0.0
SRR3537152	57549288	12.9547	0.0	0.0	0.0	0.0
SRR29646193	23721052	0.0	20.6259	0.1967	0.0	0.0
SRR20728019	34937395	0.0	13.1029	0.0	0.0	0.0
SRR34326360	3403737	0.0	4.2718	0.0	0.0	0.0
SRR25424660	12815145	0.0	12.0028	0.0	0.0	0.0
SRR26542257	22833090	0.0	2.4852	1.3501	0.0	0.0
ERR4329539	97757453	10.7563	0.0	0.0	0.0	0.0
SRR23436099	26042047	0.0	3.1486	0.1289	0.0	0.0
SRR8286648	19320756	1.5902	0.0	0.0	0.0	0.0
SRR14664487	38724572	1.7805	0.0	0.4116	0.0	0.0
SRR10135000	9030252	0.0	1.8155	0.1748	0.0	0.0
SRR14004270	49349813	0.0	1.4332	1.2219	0.0	0.0
SRR3371845	13198777	0.0	16.1169	0.0	0.0	0.0
SRR32806003	29596954	4.5777	0.0	0.6237	0.0	0.0
SRR7267174	106586	8.0076	0.0	0.0	0.0	0.0
SRR26214562	29750438	12.798	0.0	0.1206	0.0	0.0
SRR24128538	21596281	0.0	3.3191	5.6573	0.0	0.0
SRR30498933	21816797	5.7153	0.0	3.6316	0.0	0.0
SRR19698124	21766249	0.0	0.0	16.4647	0.0	0.0
SRR15731506	48899808	0.0	0.0	2.2074	0.0	0.0
SRR30357904	54280147	0.1237	1.1904	0.1311	0.0	0.0
SRR29011959	24391870	0.0	3.4478	0.1108	0.0	0.0
SRR9001738	23736890	2.8083	0.0	0.2604	0.0	0.0
SRR1765783	13548617	2.0167	0.0	0.9738	0.0	0.0
SRR10067089	13697646	4.1282	0.0	4.6664	0.0	0.0
SRR34300147	26224398	4.0606	0.0	6.1873	0.0	0.0
SRR7265076	1266179	1.3797	0.0	0.0	0.0	0.0
SRR10053813	20891135	3.0402	0.0	0.0	0.0	0.0
SRR25969038	13667604	3.3136	0.0	1.4716	0.0	0.0
SRR7507925	4403312	0.0	1.8117	1.6563	0.0	0.0
SRR28872811	32946090	0.2139	3.7336	7.9541	0.0	0.0
SRR27297770	1233447	0.0	19.2508	0.707	0.0	0.0
SRR36367319	38496926	3.5182	0.1696	11.7312	0.0	0.0
SRR29126137	335192	0.0	2.807	0.3577	0.0	0.0
SRR7267310	4543824	1.7424	0.0	0.0	0.0	0.0
SRR24956672	17552337	0.0	0.0	9.6347	0.0	0.0
SRR15960123	29526032	0.0	1.4373	1.7567	0.0	0.0
SRR25723161	13345099	0.0	11.5356	2.3925	0.0	0.0
SRR10148718	10302441	0.0	2.7775	0.7111	0.0	0.0
SRR10148719	11060210	0.0	2.7729	0.6924	0.0	0.0
SRR10148720	12367993	0.0	2.7693	0.6982	0.0	0.0
SRR17310193	7045599	0.0	0.0	2.8061	0.0	0.0
SRR17310195	6436091	0.0	0.0	2.7931	0.0	0.0
SRR17310196	6243504	0.0	0.0	2.5166	0.0	0.0
SRR25254452	22539737	0.0	1.3602	0.6286	0.0	0.0
SRR31895412	20597533	5.0196	0.0	0.2021	0.0	0.0
SRR21354871	140501	0.0	67.6999	2.7274	0.0	0.0
ERR957425	13779748	0.0	1.8035	0.2074	0.0	0.0
SRR7644354	26309515	62.1253	0.0	0.0	0.0	0.0
SRR38326984	32915634	0.0	1.4107	0.2867	0.0	0.0
SRR35391023	16365140	2.8063	0.0	2.9626	0.0	0.0
SRR33649598	27757127	21.9183	0.0	0.1074	0.0	0.0
SRR17916398	18091672	40.5597	0.0	0.6594	0.0	0.0
SRR10098207	33553017	0.0	3.2836	0.9793	0.0	0.0
ERR10886948	59564373	3.0422	0.0	0.2549	0.0	0.0
ERR10886909	52259247	3.3924	0.0	0.367	0.0	0.0
