Run	mode	BioSample	BioProject	SRAStudy	Platform	host	host_pct	library_organism	library_detected	stat_pathogens	stat_hosts	n_pathogens	interaction_status	co_infection_flag	same_genus_secondary	biosample_n_runs	biosample_representative	fungi_pct	virus_pct	bacteria_pct	oomycete_pct	nematode_pct	analyzed
SRR32667254	mal	SAMN47293325	PRJNA1228670	SRP569900	ELEMENT	Viridiplantae	10.82	Orthotospovirus impatiensnecromaculae	True	Orthotospovirus impatiensnecromaculae:69.9%; Ophiovirus mirafioriense:9.7%; Impatiens necrotic spot virus:4.5%; Varicosavirus lactucae:0.9%	Viridiplantae:10.8%	4	unresolved	multi_species	False	1	True	0.0	80.57	1.44	0.0	0.0	14179501
SRR32667293	mal	SAMN47293311	PRJNA1228670	SRP569900	ELEMENT	Lactuca sativa	54.17	Orthotospovirus impatiensnecromaculae	True	Orthotospovirus impatiensnecromaculae:22.3%; Ophiovirus mirafioriense:1.8%; Cytorhabdovirus lactucamaculante:1.0%; Varicosavirus lactucae:0.3%	Lactuca sativa:45.9%	4	known	multi_species	False	1	True	0.0	25.4	1.89	0.0	0.0	26531813
ERR15005468	mal	SAMEA117592945	PRJEB84390	ERP167864	ILLUMINA	Triticinae	46.3	Puccinia triticina	True	Puccinia triticina:11.2%; Zymoseptoria tritici:1.9%; Puccinia graminis:0.1%	Triticinae:30.5%	3	unresolved	multi_species	True	1	True	13.95	0.55	12.05	0.0	0.0	24734974
ERR3170229	mal	SAMEA5366351	PRJEB31334	ERP113880	ILLUMINA	eudicotyledons	8.2	Puccinia striiformis	True	Puccinia striiformis:1.4%; Puccinia striiformis f. sp. tritici:1.0%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.6%	eudicotyledons:0.1%	3	unresolved	multi_species	True	1	True	6.14	0.0	5.11	0.0	0.0	22259503
ERR3188443	mal	SAMEA5366264	PRJEB31334	ERP113880	ILLUMINA	Triticum aestivum	28.46	Puccinia striiformis	True	Puccinia striiformis:1.1%; Puccinia striiformis f. sp. tritici:0.9%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.4%	Triticinae:20.1%; Triticum aestivum:5.7%; Pentapetalae:0.2%	3	known	multi_species	True	1	True	2.77	0.0	3.01	0.0	0.0	24656216
ERR3170256	mal	SAMEA5366378	PRJEB31334	ERP113880	ILLUMINA	Viridiplantae	14.8	Puccinia striiformis	True	Puccinia striiformis:1.2%; Puccinia striiformis f. sp. tritici:0.8%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.5%	Viridiplantae:14.8%	3	unresolved	multi_species	True	1	True	2.83	0.15	2.9	0.0	0.0	21846927
ERR3170278	mal	SAMEA5366400	PRJEB31334	ERP113880	ILLUMINA	Triticinae	13.89	Puccinia striiformis	True	Puccinia striiformis:1.4%; Puccinia striiformis f. sp. tritici:1.0%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.4%	Triticinae:10.9%; Aegilops tauschii subsp. tauschii:4.3%	3	unresolved	multi_species	True	1	True	3.01	0.0	0.13	0.0	0.0	35576038
ERR12013072	mal	SAMEA114317592	PRJEB65589	ERP150722	ILLUMINA	Triticum aestivum	1.39	Puccinia graminis f. sp. tritici	True	Puccinia graminis:10.2%; Zymoseptoria tritici:4.7%; Puccinia triticina:3.0%	Triticum aestivum:0.1%	3	known	multi_species	True	1	True	49.51	0.0	1.33	0.0	0.0	18233974
ERR3188475	mal	SAMEA5366294	PRJEB31334	ERP113880	ILLUMINA	Pentapetalae	20.34	Puccinia striiformis	True	Puccinia striiformis:1.7%; Puccinia striiformis f. sp. tritici:1.2%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.5%	Pentapetalae:0.2%	3	unresolved	multi_species	True	1	True	4.11	0.11	0.6	0.0	0.0	20024672
ERR3170246	mal	SAMEA5366368	PRJEB31334	ERP113880	ILLUMINA	Triticinae	20.24	Puccinia striiformis	True	Puccinia striiformis:1.3%; Puccinia striiformis f. sp. tritici:0.8%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.4%	Triticinae:14.0%	3	unresolved	multi_species	True	1	True	2.8	0.11	1.89	0.0	0.0	15672880
ERR6847886	mal	SAMEA9973419	PRJEB47693	ERP131992	ILLUMINA	Triticum dicoccoides	26.76	Puccinia graminis f. sp. tritici	True	Puccinia graminis:40.9%; Zymoseptoria tritici:2.3%; Parastagonospora nodorum:0.9%	Triticinae:24.7%; Triticum:15.2%; Triticum dicoccoides:0.5%	3	novel_host_range	multi_species	False	1	True	47.69	0.0	0.54	0.0	0.0	27142351
ERR3170233	mal	SAMEA5366355	PRJEB31334	ERP113880	ILLUMINA	rosids	17.35	Puccinia striiformis	True	Alternaria alternata:2.3%; Puccinia striiformis f. sp. tritici:0.6%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.4%	rosids:0.1%	3	unresolved	multi_species	True	1	True	4.65	0.0	9.8	0.0	0.0	20318822
ERR15005445	mal	SAMEA117592926	PRJEB84390	ERP167864	ILLUMINA	Aegilops tauschii	28.05	Puccinia triticina	True	Puccinia striiformis:21.9%; Puccinia graminis:9.1%; Puccinia triticina:2.1%	Triticum:12.7%; Aegilops tauschii:0.1%	3	unresolved	multi_species	True	1	True	37.89	0.0	3.55	0.0	0.0	16053697
SRR29076503	mal	SAMN41447190	PRJNA1113144	SRP508492	ILLUMINA	Musa acuminata	89.39	Fusarium oxysporum	True	Fusarium oxysporum:1.1%; Fusarium odoratissimum:0.4%; Fusarium oxysporum Fo47:0.2%	Musa acuminata:89.0%; Musa acuminata AAA Group:45.9%	3	known	multi_species	True	1	True	5.67	0.0	0.37	0.0	0.0	30733944
ERR3170261	mal	SAMEA5366383	PRJEB31334	ERP113880	ILLUMINA	Viridiplantae	6.29	Puccinia striiformis	True	Puccinia striiformis:1.8%; Parastagonospora nodorum:0.8%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.5%	Viridiplantae:6.3%	3	unresolved	multi_species	True	1	True	5.11	0.0	2.7	0.0	0.0	22475657
ERR3188476	mal	SAMEA5366295	PRJEB31334	ERP113880	ILLUMINA	Pentapetalae	17.98	Puccinia striiformis	True	Puccinia striiformis:1.4%; Puccinia striiformis f. sp. tritici:1.0%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.5%	Pentapetalae:0.2%	3	unresolved	multi_species	True	1	True	3.74	0.0	4.4	0.0	0.0	20932196
ERR3170203	mal	SAMEA5366325	PRJEB31334	ERP113880	ILLUMINA	Mesangiospermae	10.12	Puccinia striiformis	True	Puccinia striiformis:2.8%; Puccinia striiformis f. sp. tritici:1.8%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.5%	Mesangiospermae:9.6%; Aegilops tauschii subsp. tauschii:1.3%; Pentapetalae:0.3%; rosids:0.1%	3	unresolved	multi_species	True	1	True	6.48	0.0	3.74	0.0	0.0	19267541
ERR3188462	mal	SAMEA5366281	PRJEB31334	ERP113880	ILLUMINA	Triticinae	22.54	Puccinia striiformis	True	Puccinia striiformis:1.2%; Puccinia striiformis f. sp. tritici:0.9%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.5%	Triticinae:15.0%	3	unresolved	multi_species	True	1	True	4.22	0.0	3.92	0.0	0.0	23656287
SRR14318424	mal	SAMN17118325	PRJNA686475	SRP316148	ILLUMINA	Brassica rapa	22.82	Fusarium oxysporum f. sp. rapae	True	Fusarium oxysporum:4.3%; Fusarium oxysporum NRRL 32931:0.3%; Fusarium proliferatum:0.1%	Brassica:15.3%; Brassica rapa:1.6%; Brassica napus:1.0%	3	known	multi_species	True	5	False	20.73	0.0	0.4	0.0	0.0	2208124
SRR34575216	mal	SAMN50010359	PRJNA1292970	SRP601665	ILLUMINA	Triticum aestivum	29.53	Puccinia graminis f. sp. tritici	True	Puccinia graminis:22.8%; Puccinia triticina:10.8%; Parastagonospora nodorum:4.7%	Triticum:14.7%; Triticum aestivum:2.3%; Triticum dicoccoides:0.5%	3	known	multi_species	True	1	True	41.94	0.15	1.39	0.0	0.0	10532497
ERR3188464	mal	SAMEA5366283	PRJEB31334	ERP113880	ILLUMINA	Triticum aestivum	25.91	Puccinia striiformis	True	Puccinia striiformis:0.9%; Puccinia striiformis f. sp. tritici:0.7%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.4%	Triticinae:15.9%; Triticum aestivum:4.2%; Pentapetalae:0.3%	3	known	multi_species	True	1	True	2.33	0.0	7.95	0.0	0.0	18650453
SRR14318406	mal	SAMN17118324	PRJNA686475	SRP316148	ILLUMINA	Solanum lycopersicum	8.55	Fusarium oxysporum f. sp. raphani	True	Fusarium oxysporum:13.4%; Fusarium oxysporum f. sp. lycopersici:4.4%; Fusarium verticillioides:0.2%	Solanum subgen. Lycopersicon:6.0%; Solanum lycopersicum:3.3%; Solanum pennellii:0.2%	3	known	multi_species	True	4	False	42.42	0.0	0.91	0.0	0.0	627616
SRR8334932	mal	SAMN10605935	PRJNA350867	SRP092273	ILLUMINA	Arabidopsis thaliana	5.68	Xanthomonas oryzae pv. oryzicola BLS256	True	Xanthomonas oryzae:51.7%; Xanthomonas oryzae pv. oryzicola:15.2%; Xanthomonas oryzae pv. oryzicola BLS256:0.4%	Arabidopsis thaliana:4.8%	3	novel_host_range	multi_species	True	1	True	0.0	0.0	93.66	0.0	0.0	8044868
ERR3170205	mal	SAMEA5366327	PRJEB31334	ERP113880	ILLUMINA	Aegilops tauschii subsp. tauschii	8.29	Puccinia striiformis	True	Puccinia striiformis:2.9%; Puccinia striiformis f. sp. tritici:2.1%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.5%	Aegilops tauschii subsp. tauschii:1.5%	3	unresolved	multi_species	True	1	True	6.38	0.0	5.16	0.0	0.0	18704597
SRR7797537	mal	SAMN09927120	PRJNA486288	SRP159931	ILLUMINA	Aegilops tauschii	3.47	Fusarium graminearum	True	Fusarium graminearum:58.0%; Fusarium pseudograminearum:0.8%; Alternaria alternata:0.1%	Aegilops tauschii:3.1%	3	unresolved	multi_species	True	1	True	82.27	0.0	0.0	0.0	0.0	27933123
ERR3170241	mal	SAMEA5366363	PRJEB31334	ERP113880	ILLUMINA	Triticum aestivum	2.79	Puccinia striiformis	True	Alternaria alternata:5.6%; Puccinia striiformis f. sp. tritici:0.4%; Alternaria solani:0.3%	Triticinae:2.1%; Triticum aestivum:0.5%	3	known	multi_species	False	1	True	10.75	0.1	9.45	0.0	0.0	15118889
ERR3188440	mal	SAMEA5366261	PRJEB31334	ERP113880	ILLUMINA	Triticinae	17.92	Puccinia striiformis	True	Puccinia striiformis:1.5%; Puccinia striiformis f. sp. tritici:1.1%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.4%	Triticinae:10.8%	3	unresolved	multi_species	True	1	True	3.69	0.0	6.16	0.0	0.0	22979450
ERR3170272	mal	SAMEA5366394	PRJEB31334	ERP113880	ILLUMINA	Triticinae	9.95	Puccinia striiformis	True	Puccinia striiformis:1.6%; Puccinia striiformis f. sp. tritici:1.1%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.4%	Triticinae:7.8%	3	unresolved	multi_species	True	1	True	3.26	0.0	0.0	0.0	0.0	19550516
ERR3188432	mal	SAMEA5366253	PRJEB31334	ERP113880	ILLUMINA	Triticum aestivum	26.85	Puccinia striiformis	True	Puccinia striiformis:0.9%; Puccinia striiformis f. sp. tritici:0.6%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.3%	Triticinae:17.3%; Triticum aestivum:4.6%; Pentapetalae:0.2%; rosids:0.1%	3	known	multi_species	True	1	True	2.06	0.0	6.46	0.0	0.0	28578808
ERR3170255	mal	SAMEA5366377	PRJEB31334	ERP113880	ILLUMINA	Triticinae	7.06	Puccinia striiformis	True	Alternaria alternata:13.3%; Puccinia striiformis f. sp. tritici:0.4%; Alternaria solani:0.2%	Triticinae:4.7%; Aegilops tauschii subsp. tauschii:1.8%	3	unresolved	multi_species	False	1	True	20.85	0.15	2.12	0.0	0.0	19553110
ERR3170277	mal	SAMEA5366399	PRJEB31334	ERP113880	ILLUMINA	Triticum aestivum	24.16	Puccinia striiformis	True	Puccinia striiformis:1.3%; Puccinia striiformis f. sp. tritici:0.9%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.4%	Triticinae:14.4%; Triticum aestivum:3.9%; Pentapetalae:0.2%	3	known	multi_species	True	1	True	2.83	0.0	0.61	0.0	0.0	23166718
ERR15005501	mal	SAMEA117592978	PRJEB84390	ERP167864	ILLUMINA	Triticum aestivum	47.09	Puccinia triticina	True	Zymoseptoria tritici:13.5%; Puccinia triticina:8.8%; Puccinia graminis:0.1%	Triticum aestivum:2.2%	3	known	multi_species	True	1	True	23.45	0.61	3.63	0.0	0.0	25255041
SRR14318414	mal	SAMN17118325	PRJNA686475	SRP316148	ILLUMINA	Brassica rapa	48.73	Fusarium oxysporum f. sp. rapae	True	Fusarium oxysporum:1.0%; Fusarium oxysporum f. sp. lycopersici:0.4%; Fusarium verticillioides:0.1%	Brassica:38.5%; Brassica rapa:4.1%	3	known	multi_species	True	5	False	5.12	0.0	5.01	0.0	0.0	20029783
ERR4315363	mal	SAMEA7036005	PRJEB39201	ERP122692	ILLUMINA	Viridiplantae	9.42	Puccinia striiformis f. sp. tritici	False	Zymoseptoria tritici:2.2%; Alternaria alternata:0.8%; Leptosphaeria maculans:0.1%	Viridiplantae:9.4%	3	unresolved	multi_species	False	1	True	7.29	0.0	7.87	0.0	0.0	26023475
ERR3170180	mal	SAMEA5366302	PRJEB31334	ERP113880	ILLUMINA	Triticinae	14.25	Puccinia striiformis	True	Puccinia striiformis f. sp. tritici:1.7%; Zymoseptoria tritici:0.5%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.3%	Triticinae:9.1%	3	unresolved	multi_species	True	1	True	5.03	0.0	4.91	0.0	0.0	19672947
SRR7797535	mal	SAMN09927124	PRJNA486288	SRP159931	ILLUMINA	Aegilops tauschii	9.05	Fusarium graminearum	True	Fusarium graminearum:45.4%; Alternaria alternata:0.9%; Fusarium pseudograminearum:0.4%	Aegilops tauschii:7.7%	3	unresolved	multi_species	True	1	True	67.31	0.0	0.0	0.0	0.0	26807825
ERR3170244	mal	SAMEA5366366	PRJEB31334	ERP113880	ILLUMINA	Triticum aestivum	26.84	Puccinia striiformis	True	Puccinia striiformis:1.0%; Puccinia striiformis f. sp. tritici:0.6%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.3%	Triticinae:17.5%; Triticum aestivum:4.4%; Pentapetalae:0.1%	3	known	multi_species	True	1	True	2.08	0.0	2.24	0.0	0.0	19684635
SRR21195573	mal	SAMN30451164	PRJNA872313	SRP393916	ILLUMINA	Mangifera indica	83.83	Colletotrichum siamense	True	Colletotrichum siamense:1.3%; Colletotrichum fructicola:0.5%; Colletotrichum gloeosporioides:0.2%	Mangifera indica:79.1%	3	novel_host_range	multi_species	True	3	False	8.29	0.0	0.21	0.0	0.0	34695120
ERR3188455	mal	SAMEA5366274	PRJEB31334	ERP113880	ILLUMINA	Triticinae	17.53	Puccinia striiformis	True	Puccinia striiformis:1.7%; Puccinia striiformis f. sp. tritici:1.2%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.5%	Triticinae:11.4%; Pentapetalae:0.2%	3	unresolved	multi_species	True	1	True	4.27	0.0	3.17	0.0	0.0	23157110
ERR3188434	mal	SAMEA5366255	PRJEB31334	ERP113880	ILLUMINA	Triticum aestivum	37.13	Puccinia striiformis	True	Puccinia striiformis:0.9%; Puccinia striiformis f. sp. tritici:0.6%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.3%	Triticinae:28.6%; Triticum aestivum:7.3%	3	known	multi_species	True	1	True	1.98	0.0	4.49	0.0	0.0	23206460
ERR3170242	mal	SAMEA5366364	PRJEB31334	ERP113880	ILLUMINA	Triticinae	22.3	Puccinia striiformis	True	Puccinia striiformis:1.2%; Puccinia striiformis f. sp. tritici:0.7%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.4%	Triticinae:13.8%; Aegilops tauschii subsp. tauschii:4.7%; Pentapetalae:0.2%; rosids:0.1%	3	unresolved	multi_species	True	1	True	3.1	0.0	1.84	0.0	0.0	16587242
ERR3188436	mal	SAMEA5366257	PRJEB31334	ERP113880	ILLUMINA	Mesangiospermae	7.72	Puccinia striiformis	True	Puccinia striiformis:1.8%; Puccinia striiformis f. sp. tritici:1.2%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.5%	Mesangiospermae:7.4%; Aegilops tauschii subsp. tauschii:0.9%	3	unresolved	multi_species	True	1	True	4.42	0.0	8.25	0.0	0.0	28201806
ERR3188461	mal	SAMEA5366280	PRJEB31334	ERP113880	ILLUMINA	Pentapetalae	18.87	Puccinia striiformis	True	Puccinia striiformis:1.7%; Puccinia striiformis f. sp. tritici:1.2%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.6%	Pentapetalae:0.1%	3	unresolved	multi_species	True	1	True	3.72	0.0	4.67	0.0	0.0	23790916
ERR3170264	mal	SAMEA5366386	PRJEB31334	ERP113880	ILLUMINA	Triticinae	10.08	Puccinia striiformis	True	Puccinia striiformis:1.4%; Puccinia striiformis f. sp. tritici:0.9%; Parastagonospora nodorum:0.3%	Triticinae:6.2%	3	unresolved	multi_species	False	1	True	4.1	0.0	1.96	0.0	0.0	25555070
ERR3170179	mal	SAMEA5366301	PRJEB31334	ERP113880	ILLUMINA	Triticinae	9.67	Puccinia striiformis	True	Puccinia striiformis:1.5%; Puccinia striiformis f. sp. tritici:1.1%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.5%	Triticinae:6.0%; Pentapetalae:0.1%	3	unresolved	multi_species	True	1	True	3.42	0.0	3.49	0.0	0.0	18860058
ERR3170251	mal	SAMEA5366373	PRJEB31334	ERP113880	ILLUMINA	eudicotyledons	9.24	Puccinia striiformis	True	Puccinia striiformis:1.0%; Puccinia striiformis f. sp. tritici:0.7%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.2%	eudicotyledons:0.1%	3	unresolved	multi_species	True	1	True	6.05	0.15	3.02	0.0	0.0	20947567
ERR6847892	mal	SAMEA9973425	PRJEB47693	ERP131992	ILLUMINA	Triticinae	25.25	Puccinia graminis f. sp. tritici	True	Puccinia graminis:37.2%; Puccinia triticina:3.8%; Parastagonospora nodorum:2.1%	Triticinae:23.1%; Triticum:14.1%	3	unresolved	multi_species	True	1	True	50.71	0.0	0.55	0.0	0.0	19829984
SRR32667275	mal	SAMN47293284	PRJNA1228670	SRP569900	ELEMENT	Viridiplantae	47.55	Orthotospovirus impatiensnecromaculae	True	Orthotospovirus impatiensnecromaculae:35.0%; Impatiens necrotic spot virus:1.2%; Varicosavirus lactucae:0.6%	Viridiplantae:47.5%	3	unresolved	multi_species	False	1	True	0.0	35.62	1.48	0.0	0.0	10703845
SRR34695356	mal	SAMN50023650	PRJNA1228670	SRP569900	ELEMENT	Lactuca sativa	61.72	Orthotospovirus impatiensnecromaculae	True	Varicosavirus lactucae:12.1%; Orthotospovirus impatiensnecromaculae:8.8%; Impatiens necrotic spot virus:1.0%	Lactuca sativa:58.7%	3	known	multi_species	False	1	True	0.0	21.06	1.3	0.0	0.0	680335
SRR34695334	mal	SAMN50023626	PRJNA1228670	SRP569900	ELEMENT	Viridiplantae	45.18	Orthotospovirus impatiensnecromaculae	True	Orthotospovirus impatiensnecromaculae:38.4%; Impatiens necrotic spot virus:2.6%; Ophiovirus mirafioriense:1.8%	Viridiplantae:45.2%	3	unresolved	multi_species	False	1	True	0.0	40.21	1.01	0.0	0.0	15464444
SRR34695328	mal	SAMN50023632	PRJNA1228670	SRP569900	ELEMENT	Viridiplantae	49.6	Orthotospovirus impatiensnecromaculae	True	Orthotospovirus impatiensnecromaculae:26.2%; Ophiovirus mirafioriense:4.8%; Mirafiori lettuce big-vein virus:3.4%	Viridiplantae:49.6%	3	unresolved	multi_species	False	1	True	0.11	32.72	1.39	0.0	0.0	32762769
SRR34695333	mal	SAMN50023627	PRJNA1228670	SRP569900	ELEMENT	Viridiplantae	48.7	Orthotospovirus impatiensnecromaculae	True	Orthotospovirus impatiensnecromaculae:33.1%; Impatiens necrotic spot virus:2.0%; Varicosavirus lactucae:0.6%	Viridiplantae:48.7%	3	unresolved	multi_species	False	1	True	0.0	33.63	1.36	0.0	0.0	36970993
SRR34695357	mal	SAMN50023649	PRJNA1228670	SRP569900	ELEMENT	Viridiplantae	18.19	Orthotospovirus impatiensnecromaculae	True	Orthotospovirus impatiensnecromaculae:52.1%; Varicosavirus lactucae:8.0%; Impatiens necrotic spot virus:4.2%	Viridiplantae:18.2%	3	unresolved	multi_species	False	1	True	0.0	68.57	1.17	0.0	0.0	22139417
SRR34695335	mal	SAMN50023625	PRJNA1228670	SRP569900	ELEMENT	Viridiplantae	46.71	Orthotospovirus impatiensnecromaculae	True	Orthotospovirus impatiensnecromaculae:34.7%; Ophiovirus mirafioriense:1.3%; Varicosavirus lactucae:0.9%	Viridiplantae:46.7%	3	unresolved	multi_species	False	1	True	0.0	37.54	1.35	0.0	0.0	24512185
SRR34695338	mal	SAMN50023666	PRJNA1228670	SRP569900	ELEMENT	Lactuca sativa	31.99	Orthotospovirus impatiensnecromaculae	True	Mirafiori lettuce big-vein virus:7.1%; Impatiens necrotic spot virus:4.2%; Varicosavirus lactucae:2.8%	Lactuca sativa:29.1%	3	known	multi_species	False	1	True	0.0	50.74	1.45	0.0	0.0	55504443
SRR32667285	mal	SAMN47293275	PRJNA1228670	SRP569900	ELEMENT	Viridiplantae	48.01	Orthotospovirus impatiensnecromaculae	True	Orthotospovirus impatiensnecromaculae:29.3%; Mirafiori lettuce big-vein virus:0.7%; Varicosavirus lactucae:0.4%	Viridiplantae:48.0%	3	unresolved	multi_species	False	1	True	0.0	30.96	2.28	0.0	0.0	12504124
SRR32667286	mal	SAMN47293274	PRJNA1228670	SRP569900	ELEMENT	Viridiplantae	49.25	Orthotospovirus impatiensnecromaculae	True	Orthotospovirus impatiensnecromaculae:22.9%; Ophiovirus mirafioriense:4.4%; Impatiens necrotic spot virus:1.7%	Viridiplantae:49.2%	3	unresolved	multi_species	False	1	True	0.0	28.13	2.26	0.0	0.0	13360781
SRR32377461	mal	SAMN46815989	PRJNA1054045	SRP479188	ILLUMINA	Solanum lycopersicum	34.96	Tomato brown rugose fruit virus	True	Tomato brown rugose fruit virus:4.7%; Tobacco mosaic virus:0.7%; Rehmannia mosaic virus:0.1%	Solanum subgen. Lycopersicon:27.4%; Solanum lycopersicum:16.3%; Solanum pennellii:0.4%	3	known	multi_species	False	1	True	0.0	59.9	0.44	0.0	0.0	978573
SRR32667331	mal	SAMN47293255	PRJNA1228670	SRP569900	ELEMENT	Lactuca sativa	40.7	Orthotospovirus impatiensnecromaculae	False	Ophiovirus mirafioriense:1.6%; Mirafiori lettuce big-vein virus:0.9%; Varicosavirus lactucae:0.4%	Lactuca sativa:28.9%	3	known	multi_species	False	1	True	0.0	34.5	4.05	0.0	0.0	24753706
