accession	tissue_raw	tissue_category
SAMN24451740	flower bud	aerial_other
SAMN24451739	flower bud	aerial_other
SAMN24451738	flower bud	aerial_other
SAMN24451737	flower bud	aerial_other
SAMN24451736	flower bud	aerial_other
SAMN24451735	flower bud	aerial_other
SAMN24451734	flower bud	aerial_other
SAMN24451733	flower bud	aerial_other
SAMN24451732	flower bud	aerial_other
SAMN24451731	flower bud	aerial_other
SAMN24451730	flower bud	aerial_other
SAMN24433729	bark	aerial_other
SAMN24433728	leaf	leaf
SAMN24433727	stem	aerial_other
SAMN18614852	shoot	aerial_other
SAMN18614851	shoot	aerial_other
SAMN18559413	leaves	leaf
SAMN26264216	flower	aerial_other
SAMN26264215	leaf	leaf
SAMN26264211	stem	aerial_other
SAMN20856471	flower bud	aerial_other
SAMN20856470	flower bud	aerial_other
SAMN20856469	flower bud	aerial_other
SAMN20856468	stem	aerial_other
SAMN20856464	leaf	leaf
SAMN20856463	leaf	leaf
SAMN20856462	leaf	leaf
SAMN27016965	leaf	leaf
SAMN27016964	leaf	leaf
SAMN27016963	leaf	leaf
SAMN27016962	leaf	leaf
SAMN27016961	leaf	leaf
SAMN27016960	leaf	leaf
SAMN26896060	leaves	leaf
SAMN26896059	leaves	leaf
SAMN26896058	leaves	leaf
SAMN26896057	leaves	leaf
SAMN26896056	leaves	leaf
SAMN26896055	leaves	leaf
SAMN21447873	leaf	leaf
SAMN21447872	bark	aerial_other
SAMEA9962260	shoot tips	aerial_other
SAMEA9962259	shoot tips	aerial_other
SAMEA9962258	shoot tips	aerial_other
SAMEA9962257	shoot tips	aerial_other
SAMEA9962256	shoot tips	aerial_other
SAMEA9962255	shoot tips	aerial_other
SAMEA9962254	shoot tips	aerial_other
SAMEA9962253	shoot tips	aerial_other
SAMEA9962252	shoot tips	aerial_other
SAMEA9962251	shoot tips	aerial_other
SAMEA9962250	shoot tips	aerial_other
SAMEA9962249	shoot tips	aerial_other
SAMEA9962248	shoot tips	aerial_other
SAMEA9962247	shoot tips	aerial_other
SAMEA9962246	shoot tips	aerial_other
SAMEA9962245	shoot tips	aerial_other
SAMEA9962244	shoot tips	aerial_other
SAMEA9962243	shoot tips	aerial_other
SAMEA9962242	shoot tips	aerial_other
SAMEA9962240	shoot tips	aerial_other
SAMEA9962239	shoot tips	aerial_other
SAMEA9962238	shoot tips	aerial_other
SAMEA9962236	shoot tips	aerial_other
SAMN26255277	Flag leaf	leaf
SAMN26255276	Flag leaf	leaf
SAMN22335727	leaf and stem	leaf
SAMN22335726	leaf and stem	leaf
SAMN22335725	leaf and stem	leaf
SAMN22335724	leaf and stem	leaf
SAMN22335723	leaf and stem	leaf
SAMN22335722	leaf and stem	leaf
SAMN22335720	leaf and stem	leaf
SAMN22335719	leaf and stem	leaf
SAMN22335718	leaf and stem	leaf
SAMN22335717	leaf and stem	leaf
SAMN22335716	leaf and stem	leaf
SAMN22335715	leaf and stem	leaf
SAMN22335714	leaf and stem	leaf
SAMN22335713	leaf and stem	leaf
SAMN22335712	leaf and stem	leaf
SAMN22335711	leaf and stem	leaf
SAMN22335710	leaf and stem	leaf
SAMN22335709	leaf and stem	leaf
SAMN22335708	leaf and stem	leaf
SAMN22335707	leaf and stem	leaf
SAMN22335706	leaf and stem	leaf
SAMN22335705	leaf and stem	leaf
SAMN22335704	leaf and stem	leaf
SAMN22335703	leaf and stem	leaf
SAMN22335702	leaf and stem	leaf
SAMN22335701	leaf and stem	leaf
SAMN22335700	leaf and stem	leaf
SAMN22335699	leaf and stem	leaf
SAMN22335698	leaf and stem	leaf
SAMN22335697	leaf and stem	leaf
SAMN22335695	leaf and stem	leaf
