accession	tissue_raw	tissue_category
SAMN61519482	secondary vein, leaf 10	leaf
SAMN61519481	secondary vein, leaf 10	leaf
SAMN61519480	secondary vein, leaf 10	leaf
SAMN61519479	secondary vein, leaf 10	leaf
SAMN61519478	secondary vein, leaf 10	leaf
SAMN61519477	secondary vein, leaf 10	leaf
SAMN61519476	secondary vein, leaf 10	leaf
SAMN61519475	secondary vein, leaf 10	leaf
SAMN61519474	secondary vein, leaf 10	leaf
SAMN61519473	secondary vein, leaf 10	leaf
SAMN61519472	secondary vein, leaf 10	leaf
SAMN61519471	secondary vein, leaf 10	leaf
SAMN61519470	secondary vein, leaf 10	leaf
SAMN61519469	secondary vein, leaf 10	leaf
SAMN61519468	secondary vein, leaf 10	leaf
SAMN61519467	secondary vein, leaf 10	leaf
SAMN61519466	secondary vein, leaf 10	leaf
SAMN61519465	secondary vein, leaf 10	leaf
SAMN61519464	secondary vein, leaf 10	leaf
SAMN61519463	secondary vein, leaf 10	leaf
SAMN61519462	secondary vein, leaf 10	leaf
SAMN61519461	secondary vein, leaf 10	leaf
SAMN61519460	secondary vein, leaf 10	leaf
SAMN61519459	secondary vein, leaf 10	leaf
SAMN61519458	secondary vein, leaf 10	leaf
SAMN61519457	secondary vein, leaf 10	leaf
SAMN61519456	secondary vein, leaf 10	leaf
SAMN61519455	secondary vein, leaf 10	leaf
SAMN61519454	secondary vein, leaf 10	leaf
SAMN61519453	secondary vein, leaf 10	leaf
SAMN61519452	secondary vein, leaf 10	leaf
SAMN61519451	secondary vein, leaf 10	leaf
SAMN61519450	secondary vein, leaf 10	leaf
SAMN61519449	secondary vein, leaf 10	leaf
SAMN61519448	secondary vein, leaf 10	leaf
SAMN61519447	secondary vein, leaf 10	leaf
SAMN62256939	leaf	leaf
SAMN62256938	leaf	leaf
SAMN62256937	leaf	leaf
SAMN62256936	leaf	leaf
SAMN62256935	leaf	leaf
SAMN62256934	leaf	leaf
SAMN62256933	leaf	leaf
SAMN62256932	leaf	leaf
SAMN62256931	leaf	leaf
SAMN62256930	leaf	leaf
SAMN62256929	leaf	leaf
SAMN62256928	leaf	leaf
SAMN62256927	leaf	leaf
SAMN62256926	leaf	leaf
SAMN62256925	leaf	leaf
SAMN62256924	leaf	leaf
SAMN57088731	leaf	leaf
SAMN57088730	leaf	leaf
SAMN57088729	leaf	leaf
SAMN57088728	leaf	leaf
SAMN57088727	leaf	leaf
SAMN57088726	leaf	leaf
SAMN57088725	leaf	leaf
SAMN57088724	leaf	leaf
SAMN57088723	leaf	leaf
SAMN57088722	leaf	leaf
SAMN57088721	leaf	leaf
SAMN57088720	leaf	leaf
SAMN57088719	leaf	leaf
SAMN57088718	leaf	leaf
SAMN57088717	leaf	leaf
SAMN57088716	leaf	leaf
SAMN57088715	leaf	leaf
SAMN57088714	leaf	leaf
SAMN57088713	leaf	leaf
SAMN57088712	leaf	leaf
SAMN57088711	leaf	leaf
SAMN57088710	leaf	leaf
SAMN57088709	leaf	leaf
SAMN57088708	leaf	leaf
SAMN57088707	leaf	leaf
SAMN57088706	leaf	leaf
SAMN57088705	leaf	leaf
SAMN57088704	leaf	leaf
SAMN57088703	leaf	leaf
SAMN57088702	leaf	leaf
SAMN57088701	leaf	leaf
SAMN57088700	leaf	leaf
SAMN57088699	leaf	leaf
SAMN57088698	leaf	leaf
SAMN57088697	leaf	leaf
SAMN57088696	leaf	leaf
SAMN57088695	leaf	leaf
SAMN57088694	leaf	leaf
SAMN57088693	leaf	leaf
SAMN57088692	leaf	leaf
SAMN57088691	leaf	leaf
SAMN57088690	leaf	leaf
SAMN57088689	leaf	leaf
SAMN57088688	leaf	leaf
SAMN57088687	leaf	leaf
SAMN57088686	leaf	leaf
SAMN57088685	leaf	leaf
SAMN57088684	leaf	leaf
SAMN57088683	leaf	leaf
SAMN57088682	leaf	leaf
SAMN57088681	leaf	leaf
SAMN57088680	leaf	leaf
SAMN57088679	leaf	leaf
SAMN57088678	leaf	leaf
SAMN57088677	leaf	leaf
SAMN57088676	leaf	leaf
SAMN57088675	leaf	leaf
SAMN57088674	leaf	leaf
SAMN57088673	leaf	leaf
SAMN57088672	leaf	leaf
SAMN22074140	leaf and stem	leaf
SAMD01948562	shoot apex	aerial_other
SAMD01948561	leaflet	leaf
SAMN62208265	rosettes	aerial_other
SAMN62208264	rosettes	aerial_other
SAMN62208263	rosettes	aerial_other
SAMN62208262	rosettes	aerial_other
SAMN62208261	rosettes	aerial_other
SAMN62208260	rosettes	aerial_other
SAMN62208259	rosettes	aerial_other
SAMN62208258	rosettes	aerial_other
SAMN62208257	rosettes	aerial_other
SAMN62208256	rosettes	aerial_other
SAMN62208255	rosettes	aerial_other
SAMN62208254	rosettes	aerial_other
SAMN62208253	rosettes	aerial_other
SAMN62208252	rosettes	aerial_other
SAMN62208251	rosettes	aerial_other
SAMN62208250	rosettes	aerial_other
SAMN62208249	rosettes	aerial_other
SAMN62208248	rosettes	aerial_other
SAMN62208247	rosettes	aerial_other
SAMN62208246	rosettes	aerial_other
SAMN62208245	rosettes	aerial_other
SAMN62208244	rosettes	aerial_other
SAMN62208243	rosettes	aerial_other
SAMN62208242	rosettes	aerial_other
SAMN62157299	Leaf	leaf
SAMN62157289	Leaf	leaf
SAMN62157284	Leaf	leaf
SAMN62157283	Leaf	leaf
SAMN62157279	Leaf	leaf
SAMN62157198	Leaf	leaf
SAMN62157194	Leaf	leaf
SAMN62157192	Leaf	leaf
SAMN62157190	Leaf	leaf
SAMN62157186	Leaf	leaf
SAMN62157132	Leaf	leaf
SAMN62157125	Leaf	leaf
SAMN50309538	stem	aerial_other
SAMN50309537	stem	aerial_other
SAMN50309536	stem	aerial_other
SAMN50309535	stem	aerial_other
SAMN50309534	stem	aerial_other
SAMN50309533	stem	aerial_other
SAMN61866581	Leaf	leaf
SAMN62003150	leaf	leaf
SAMN62003149	leaf	leaf
SAMN62003148	leaf	leaf
SAMN62003147	leaf	leaf
SAMN62003146	leaf	leaf
SAMN62003145	leaf	leaf
SAMN62003144	leaf	leaf
SAMN62003143	leaf	leaf
SAMN62003142	leaf	leaf
SAMN61619450	leaves	leaf
SAMN61619449	leaves	leaf
SAMN61619448	leaves	leaf
SAMN60589908	leaf	leaf
SAMN60589907	leaf	leaf
SAMN57454034	shoot	aerial_other
SAMN57454033	shoot	aerial_other
SAMN57454032	shoot	aerial_other
SAMN57454031	shoot	aerial_other
SAMN57454026	shoot	aerial_other
SAMN57454025	shoot	aerial_other
SAMN57454024	shoot	aerial_other
SAMN57454023	shoot	aerial_other
SAMN57454018	shoot	aerial_other
SAMN57454017	shoot	aerial_other
SAMN57454016	shoot	aerial_other
SAMN57454015	shoot	aerial_other
SAMN57454010	shoot	aerial_other
SAMN57454009	shoot	aerial_other
SAMN57454008	shoot	aerial_other
SAMN57454007	shoot	aerial_other
SAMN57454002	shoot	aerial_other
SAMN57454001	shoot	aerial_other
SAMN57454000	shoot	aerial_other
SAMN57453999	shoot	aerial_other
SAMN57453994	shoot	aerial_other
SAMN57453993	shoot	aerial_other
SAMN57453992	shoot	aerial_other
SAMN57453991	shoot	aerial_other
SAMN56471975	leaf	leaf
SAMN56471974	leaf	leaf
SAMN56471973	leaf	leaf
SAMN56471972	leaf	leaf
SAMN56471971	leaf	leaf
SAMN56471970	leaf	leaf
SAMN48999685	leaf	leaf
SAMN48999684	leaf	leaf
SAMN48999683	leaf	leaf
SAMN45053538	leaf	leaf
SAMN43547452	leaf	leaf
SAMN43547451	leaf	leaf
SAMN43547450	leaf	leaf
SAMN61985121	leaf	leaf
SAMN61985120	leaf	leaf
SAMN61985119	leaf	leaf
SAMN61985118	leaf	leaf
SAMN61985117	leaf	leaf
SAMN61985116	leaf	leaf
SAMN61985115	leaf	leaf
SAMN61985114	leaf	leaf
SAMN61985113	leaf	leaf
SAMN40975845	leaf	leaf
SAMN37934896	leaf	leaf
SAMN37934895	leaf	leaf
SAMN37934894	leaf	leaf
SAMN37934893	leaf	leaf
SAMN37934892	leaf	leaf
SAMN37934891	leaf	leaf
SAMN37934890	leaf	leaf
SAMN37934889	leaf	leaf
SAMN37934888	leaf	leaf
SAMN37394872	leaf	leaf
SAMN37394871	leaf	leaf
SAMN37394870	leaf	leaf
SAMN37394869	leaf	leaf
SAMN37394868	leaf	leaf
SAMN37394867	leaf	leaf
SAMN35524500	shoot	aerial_other
SAMN35524499	shoot	aerial_other
SAMN35524498	shoot	aerial_other
SAMN35524497	shoot	aerial_other
SAMN35524496	shoot	aerial_other
SAMN35524495	shoot	aerial_other
SAMN35524494	shoot	aerial_other
SAMN35524493	shoot	aerial_other
SAMN35524492	shoot	aerial_other
SAMN35524491	shoot	aerial_other
SAMN35524490	shoot	aerial_other
SAMN35524489	shoot	aerial_other
SAMN35524488	shoot	aerial_other
SAMN35524487	shoot	aerial_other
SAMN35524486	shoot	aerial_other
SAMN35523162	shoot	aerial_other
SAMN35523161	shoot	aerial_other
SAMN35523160	shoot	aerial_other
SAMN35523159	shoot	aerial_other
SAMN35523158	shoot	aerial_other
SAMN35523157	shoot	aerial_other
SAMN35523156	shoot	aerial_other
SAMN35523155	shoot	aerial_other
SAMN35523154	shoot	aerial_other
SAMN35523153	shoot	aerial_other
SAMN35523152	shoot	aerial_other
SAMN35523151	shoot	aerial_other
SAMN35523150	shoot	aerial_other
SAMN35523149	shoot	aerial_other
SAMN35523148	shoot	aerial_other
SAMN33025044	Pollen	aerial_other
SAMN33024947	Pollen	aerial_other
SAMN31987356	young leaf	leaf
SAMN31987355	young leaf	leaf
SAMN31987354	young leaf	leaf
SAMN31987350	Bud	aerial_other
SAMN31987349	Bud	aerial_other
SAMN31987348	Bud	aerial_other
SAMN31476558	flower bud	aerial_other
SAMN31476557	flower bud	aerial_other
SAMN31476556	flower bud	aerial_other
SAMN31476555	flower bud	aerial_other
SAMN31476554	flower bud	aerial_other
SAMN31476553	flower bud	aerial_other
SAMN31476552	flower bud	aerial_other
SAMN31476551	flower bud	aerial_other
SAMN31476550	flower bud	aerial_other
SAMN31476549	flower bud	aerial_other
SAMN31476548	flower bud	aerial_other
SAMN31476547	flower bud	aerial_other
SAMN31476546	flower bud	aerial_other
SAMN31476545	flower bud	aerial_other
SAMN31476544	flower bud	aerial_other
SAMN31476543	flower bud	aerial_other
SAMN30806305	floral bud	aerial_other
SAMN30806246	floral bud	aerial_other
SAMN27685548	leaf	leaf
SAMN27685531	leaf	leaf
SAMN27685509	leaf	leaf
SAMN27629954	leaf	leaf
SAMN24907320	leaf	leaf
SAMN24907319	leaf	leaf
SAMN24907318	leaf	leaf
SAMN24907317	leaf	leaf
SAMN22452876	Flag leaves	leaf
SAMN22452875	Flag leaves	leaf
SAMN22452874	Flag leaves	leaf
SAMN16587814	leave	leaf
SAMN16587813	leave	leaf
SAMN08813166	shoot	aerial_other
SAMN08813165	shoot	aerial_other
SAMN08813164	shoot	aerial_other
SAMN08813163	shoot	aerial_other
SAMN08813162	shoot	aerial_other
SAMN08813161	shoot	aerial_other
SAMN08813160	shoot	aerial_other
SAMN08813159	shoot	aerial_other
SAMN08813158	shoot	aerial_other
SAMN08813157	shoot	aerial_other
SAMN08813152	shoot	aerial_other
SAMN08813151	shoot	aerial_other
SAMN08813150	shoot	aerial_other
SAMN08813149	shoot	aerial_other
SAMEA104170948	leaf	leaf
SAMEA104170884	young shoot	aerial_other
SAMEA104170876	young shoot	aerial_other
SAMEA104170734	leaf	leaf
SAMEA104170614	leaf	leaf
SAMEA104170267	leaves	leaf
SAMEA104170222	flower bud	aerial_other
SAMEA104170220	stem	aerial_other
SAMEA104170219	leaf	leaf
SAMN54508996	Leaf	leaf
SAMN61859837	Leaf	leaf
SAMN61829293	leaf	leaf
SAMN61829286	leaf	leaf
SAMN61828612	leaf	leaf
SAMN61548222	petiole	aerial_other
SAMN61548221	petiole	aerial_other
SAMN61548220	petiole	aerial_other
SAMN61548219	leaf	leaf
SAMN61548218	leaf	leaf
SAMN61548217	leaf	leaf
SAMN60428144	Leaf	leaf
SAMN50996058	leaf	leaf
SAMN50996055	leaf	leaf
SAMN50996052	leaf	leaf
SAMN50996049	leaf	leaf
SAMN50996046	leaf	leaf
SAMN50996043	leaf	leaf
SAMN50996040	leaf	leaf
SAMN50996037	leaf	leaf
SAMN50996034	leaf	leaf
SAMN50996027	leaf	leaf
SAMN50996019	leaf	leaf
SAMN50996016	leaf	leaf
SAMN48388790	Leaf	leaf
SAMN46554334	Leaf	leaf
SAMN61724674	leave	leaf
SAMN61724673	leave	leaf
SAMN61724672	leave	leaf
SAMN61724671	leave	leaf
SAMN61724068	leaves	leaf
SAMN61723989	leaves	leaf
SAMN61662383	floret	aerial_other
SAMN61662382	floret	aerial_other
SAMN61662381	floret	aerial_other
SAMN61662380	floret	aerial_other
SAMN61662379	floret	aerial_other
SAMN61662378	floret	aerial_other
SAMN61662377	floret	aerial_other
SAMN61662376	floret	aerial_other
SAMN61662375	floret	aerial_other
SAMN24966640	Leaves	leaf
SAMN61623780	inflorescence	aerial_other
SAMN61623779	inflorescence	aerial_other
SAMN61623778	inflorescence	aerial_other
SAMN61623774	stem	aerial_other
SAMN61623773	stem	aerial_other
SAMN61623772	stem	aerial_other
SAMN61623768	leaf	leaf
SAMN61623767	leaf	leaf
SAMN61623766	leaf	leaf
SAMN61423907	shoot	aerial_other
SAMN61423906	shoot	aerial_other
SAMN61423905	shoot	aerial_other
SAMN61423904	shoot	aerial_other
SAMN61423903	shoot	aerial_other
SAMN61423902	shoot	aerial_other
SAMN61423901	shoot	aerial_other
SAMN61423900	shoot	aerial_other
SAMN61423899	shoot	aerial_other
SAMN61547304	Shoot	aerial_other
SAMN61547303	Shoot	aerial_other
SAMN61547302	Shoot	aerial_other
SAMN61547298	Shoot	aerial_other
SAMN61547297	Shoot	aerial_other
SAMN61547296	Shoot	aerial_other
SAMN61547292	Shoot	aerial_other
SAMN61547291	Shoot	aerial_other
SAMN61547290	Shoot	aerial_other
SAMN61547286	Shoot	aerial_other
SAMN61547285	Shoot	aerial_other
SAMN61547284	Shoot	aerial_other
SAMN61546366	leaf	leaf
SAMN61546365	leaf	leaf
SAMN61546364	leaf	leaf
SAMN61546363	leaf	leaf
SAMN61546362	leaf	leaf
SAMN61546361	leaf	leaf
SAMN61546360	leaf	leaf
SAMN61546359	leaf	leaf
SAMN61546358	leaf	leaf
SAMN48529801	leaf	leaf
SAMN47446240	leaf	leaf
SAMN61194146	Leaf	leaf
SAMN61194145	Leaf	leaf
SAMN61194144	Leaf	leaf
SAMN61194143	Leaf	leaf
SAMN61194142	Leaf	leaf
SAMN61194141	Leaf	leaf
SAMN60159534	Leaf	leaf
SAMN55229449	Flower	aerial_other
SAMN55229447	Stem	aerial_other
SAMN55229446	Leaf	leaf
SAMN61183146	stem	aerial_other
SAMN61183145	stem	aerial_other
SAMN61183144	stem	aerial_other
SAMN61183143	leaf	leaf
SAMN61183142	leaf	leaf
SAMN61183141	leaf	leaf
SAMN61183137	stem	aerial_other
SAMN61183136	stem	aerial_other
SAMN61183135	stem	aerial_other
SAMN61183134	leaf	leaf
SAMN61183133	leaf	leaf
SAMN61183132	leaf	leaf
SAMN61178379	leaf	leaf
SAMN61178378	leaf	leaf
SAMN61178377	leaf	leaf
SAMN61178376	leaf	leaf
SAMN61178375	leaf	leaf
SAMN61178374	leaf	leaf
SAMN61178373	leaf	leaf
SAMN61178372	leaf	leaf
SAMN61178371	leaf	leaf
SAMN61178132	stem	aerial_other
SAMN61178131	stem	aerial_other
SAMN61178130	stem	aerial_other
SAMN61178129	stem	aerial_other
SAMN61178128	stem	aerial_other
SAMN61178127	stem	aerial_other
SAMN61178126	stem	aerial_other
SAMN61178125	stem	aerial_other
SAMN61178124	stem	aerial_other
SAMN61178123	stem	aerial_other
SAMN61178122	stem	aerial_other
SAMN61178121	stem	aerial_other
SAMN61178120	leaf	leaf
SAMN61178119	leaf	leaf
SAMN61178118	leaf	leaf
SAMN61178117	leaf	leaf
SAMN61178116	leaf	leaf
SAMN61178115	leaf	leaf
SAMN61178114	leaf	leaf
SAMN61178113	leaf	leaf
SAMN61178112	leaf	leaf
SAMN61178111	leaf	leaf
SAMN61178110	leaf	leaf
SAMN61178109	stem	aerial_other
SAMN61178108	stem	aerial_other
SAMN61178107	stem	aerial_other
SAMN61178106	stem	aerial_other
SAMN61178105	stem	aerial_other
SAMN61178104	stem	aerial_other
SAMN61178103	stem	aerial_other
SAMN61178102	stem	aerial_other
SAMN61178101	stem	aerial_other
SAMN61178100	stem	aerial_other
SAMN61178099	stem	aerial_other
SAMN61178098	stem	aerial_other
SAMN61178097	leaf	leaf
SAMN61178096	leaf	leaf
SAMN61178095	leaf	leaf
SAMN61178094	leaf	leaf
SAMN61178093	leaf	leaf
SAMN61178092	leaf	leaf
SAMN61178091	leaf	leaf
SAMN61178090	leaf	leaf
SAMN61178089	leaf	leaf
SAMN61178088	leaf	leaf
SAMN61178087	leaf	leaf
SAMN61178086	leaf	leaf
SAMN61120213	leaf	leaf
SAMN61120212	leaf	leaf
SAMN61120211	leaf	leaf
SAMN61120210	leaf	leaf
SAMN61120209	leaf	leaf
SAMN61120208	leaf	leaf
SAMN61120207	leaf	leaf
SAMN61120206	leaf	leaf
SAMN61120205	leaf	leaf
SAMN61120204	leaf	leaf
SAMN61120203	leaf	leaf
SAMN61120202	leaf	leaf
SAMN61075995	Buds	aerial_other
SAMN61075994	Buds	aerial_other
SAMN61075993	Buds	aerial_other
SAMN61075992	Buds	aerial_other
SAMN61075991	Buds	aerial_other
SAMN61075990	Buds	aerial_other
SAMN61075989	Buds	aerial_other
SAMN61075988	Buds	aerial_other
SAMN61075987	Buds	aerial_other
SAMN61075986	Buds	aerial_other
SAMN61075985	Buds	aerial_other
SAMN61075984	Buds	aerial_other
SAMN61075983	Buds	aerial_other
SAMN61075982	Buds	aerial_other
SAMN61075981	Buds	aerial_other
SAMN61075980	Buds	aerial_other
SAMN61075979	Buds	aerial_other
SAMN61075978	Buds	aerial_other
SAMN61075977	Buds	aerial_other
SAMN61075976	Buds	aerial_other
SAMN61075975	Buds	aerial_other
SAMN61075974	Buds	aerial_other
SAMN61075973	Buds	aerial_other
SAMN61075972	Buds	aerial_other
SAMN61075971	Buds	aerial_other
SAMN61075970	Buds	aerial_other
SAMN61075969	Buds	aerial_other
SAMN61075968	Buds	aerial_other
SAMN61075967	Buds	aerial_other
SAMN61075966	Buds	aerial_other
SAMN61075965	Buds	aerial_other
SAMN61075964	Buds	aerial_other
SAMN61075963	Buds	aerial_other
SAMN61075962	Buds	aerial_other
SAMN61075961	Buds	aerial_other
SAMN61075960	Buds	aerial_other
SAMN61075959	Buds	aerial_other
SAMN61075958	Buds	aerial_other
SAMN61075957	Buds	aerial_other
SAMN61075956	Buds	aerial_other
SAMN61075955	Buds	aerial_other
SAMN61075954	Buds	aerial_other
SAMN61075953	Buds	aerial_other
SAMN61075952	Buds	aerial_other
SAMN61075951	Buds	aerial_other
SAMN61075950	Buds	aerial_other
SAMN61075949	Buds	aerial_other
SAMN61075948	Buds	aerial_other
SAMN61075947	Buds	aerial_other
SAMN61075946	Buds	aerial_other
SAMN61075945	Buds	aerial_other
SAMN61075944	Buds	aerial_other
SAMN61075943	Buds	aerial_other
SAMN61075942	Buds	aerial_other
SAMN61075941	Buds	aerial_other
SAMN61075940	Buds	aerial_other
SAMN61075939	Buds	aerial_other
SAMN61075938	Buds	aerial_other
SAMN61075937	Buds	aerial_other
SAMN61075936	Buds	aerial_other
SAMN61075935	Buds	aerial_other
SAMN61075934	Buds	aerial_other
SAMN61075933	Buds	aerial_other
SAMN61075932	Buds	aerial_other
SAMN61075931	Buds	aerial_other
SAMN61075930	Buds	aerial_other
SAMN61075929	Buds	aerial_other
SAMN61075928	Buds	aerial_other
SAMN61075927	Buds	aerial_other
SAMN61075926	Buds	aerial_other
SAMN61075925	Buds	aerial_other
SAMN61075924	Buds	aerial_other
SAMN61075923	Buds	aerial_other
SAMN61075922	Buds	aerial_other
SAMN61075921	Buds	aerial_other
SAMN61075920	Buds	aerial_other
SAMN61075919	Buds	aerial_other
SAMN61075918	Buds	aerial_other
SAMN61075917	Buds	aerial_other
SAMN61075916	Buds	aerial_other
SAMN61075915	Buds	aerial_other
SAMN61075914	Buds	aerial_other
SAMN61075913	Buds	aerial_other
SAMN61075912	Buds	aerial_other
SAMN61075911	Buds	aerial_other
SAMN61075910	Buds	aerial_other
SAMN61075909	Buds	aerial_other
SAMN61075908	Buds	aerial_other
SAMN61075907	Buds	aerial_other
SAMN61075906	Buds	aerial_other
SAMN61075905	Buds	aerial_other
SAMN61075904	Buds	aerial_other
SAMN61075903	Buds	aerial_other
SAMN61075902	Buds	aerial_other
SAMN61075901	Buds	aerial_other
SAMN61075900	Buds	aerial_other
SAMN61075899	Buds	aerial_other
SAMN61075898	Buds	aerial_other
SAMN61075897	Buds	aerial_other
SAMN61075896	Buds	aerial_other
SAMN61075895	Buds	aerial_other
SAMN61075894	Buds	aerial_other
SAMN61075893	Buds	aerial_other
SAMN61075892	Buds	aerial_other
SAMN61075891	Buds	aerial_other
SAMN61075890	Buds	aerial_other
SAMN61075889	Buds	aerial_other
SAMN61075888	Buds	aerial_other
SAMN61075887	Buds	aerial_other
SAMN61075886	Buds	aerial_other
SAMN61075885	Buds	aerial_other
SAMN61075884	Buds	aerial_other
SAMN61075883	Buds	aerial_other
SAMN61075882	Buds	aerial_other
SAMN61075881	Buds	aerial_other
SAMN61075880	Buds	aerial_other
SAMN61075879	Buds	aerial_other
SAMN61075878	Buds	aerial_other
SAMN61075877	Buds	aerial_other
SAMN61075876	Buds	aerial_other
SAMN61075875	Buds	aerial_other
SAMN61075874	Buds	aerial_other
SAMN61075873	Buds	aerial_other
SAMN61075872	Buds	aerial_other
SAMN61075871	Buds	aerial_other
SAMN61075870	Buds	aerial_other
SAMN61075869	Buds	aerial_other
SAMN61075868	Buds	aerial_other
SAMN61075867	Buds	aerial_other
SAMN61075866	Buds	aerial_other
SAMN61075865	Buds	aerial_other
SAMN61075864	Buds	aerial_other
SAMN61075863	Buds	aerial_other
SAMN61075862	Buds	aerial_other
SAMN61075861	Buds	aerial_other
SAMN61075860	Buds	aerial_other
SAMN61075859	Buds	aerial_other
SAMN61075858	Buds	aerial_other
SAMN61075857	Buds	aerial_other
SAMN61075856	Buds	aerial_other
SAMN61075855	Buds	aerial_other
SAMN61075854	Buds	aerial_other
SAMN61075853	Buds	aerial_other
SAMN61075852	Buds	aerial_other
SAMN61075851	Buds	aerial_other
SAMN61075850	Buds	aerial_other
SAMN61075849	Buds	aerial_other
SAMN61075848	Buds	aerial_other
SAMN61075847	Buds	aerial_other
SAMN61075846	Buds	aerial_other
SAMN61075845	Buds	aerial_other
SAMN61075844	Buds	aerial_other
SAMN61075843	Buds	aerial_other
SAMN61075842	Buds	aerial_other
SAMN61075841	Buds	aerial_other
SAMN61075840	Buds	aerial_other
SAMN61075839	Buds	aerial_other
SAMN61075838	Buds	aerial_other
SAMN61075837	Buds	aerial_other
SAMN61075836	Buds	aerial_other
SAMN61075835	Buds	aerial_other
SAMN61075834	Buds	aerial_other
SAMN61075833	Buds	aerial_other
SAMN61075832	Buds	aerial_other
SAMN61075831	Buds	aerial_other
SAMN61075830	Buds	aerial_other
SAMN61075829	Buds	aerial_other
SAMN61075828	Buds	aerial_other
SAMN61075827	Buds	aerial_other
SAMN61075826	Buds	aerial_other
SAMN61075825	Buds	aerial_other
SAMN61075824	Buds	aerial_other
SAMN61075823	Buds	aerial_other
SAMN61075822	Buds	aerial_other
SAMN61075821	Buds	aerial_other
SAMN61075820	Buds	aerial_other
SAMN61075819	Buds	aerial_other
SAMN61075818	Buds	aerial_other
SAMN61075817	Buds	aerial_other
SAMN61075816	Buds	aerial_other
SAMN61075815	Buds	aerial_other
SAMN61075814	Buds	aerial_other
SAMN61075813	Buds	aerial_other
SAMN61075812	Buds	aerial_other
SAMN61075811	Buds	aerial_other
SAMN61075810	Buds	aerial_other
SAMN61075809	Buds	aerial_other
SAMN61075808	Buds	aerial_other
SAMN61075807	Buds	aerial_other
SAMN61075806	Buds	aerial_other
SAMN61075805	Buds	aerial_other
SAMN61075804	Buds	aerial_other
SAMN61075803	Buds	aerial_other
SAMN61075802	Buds	aerial_other
SAMN61075801	Buds	aerial_other
SAMN61075800	Buds	aerial_other
SAMN61075799	Buds	aerial_other
SAMN61075798	Buds	aerial_other
SAMN61075797	Buds	aerial_other
SAMN61075796	Buds	aerial_other
SAMN61075795	Buds	aerial_other
SAMN61075794	Buds	aerial_other
SAMN61075793	Buds	aerial_other
SAMN61075792	Buds	aerial_other
SAMN61091904	panicle	aerial_other
SAMN61091903	panicle	aerial_other
SAMN61091902	panicle	aerial_other
SAMN61091901	leaf	leaf
SAMN61091900	leaf	leaf
SAMN61091899	leaf	leaf
SAMN61091898	stem	aerial_other
SAMN61091897	stem	aerial_other
SAMN61091896	stem	aerial_other
SAMN61091895	panicle	aerial_other
SAMN61091894	panicle	aerial_other
SAMN61091893	panicle	aerial_other
SAMN61091892	leaf	leaf
SAMN61091891	leaf	leaf
SAMN61091890	leaf	leaf
SAMN61091889	stem	aerial_other
SAMN61091888	stem	aerial_other
SAMN61091887	stem	aerial_other
SAMN60375718	leaf	leaf
SAMN60375717	leaf	leaf
SAMN60375716	leaf	leaf
SAMN60375715	leaf	leaf
SAMN60375714	leaf	leaf
SAMN60375713	leaf	leaf
SAMN60375712	leaf	leaf
SAMN60375711	leaf	leaf
SAMN60375710	leaf	leaf
SAMN60375709	leaf	leaf
SAMN22074161	leaf and stem	leaf
SAMN22074155	leaf and stem	leaf
SAMN20178306	floral bud	aerial_other
SAMN15668941	apex	aerial_other
SAMN15668940	apex	aerial_other
SAMN15668939	apex	aerial_other
SAMN15668938	apex	aerial_other
SAMN15668937	apex	aerial_other
SAMN15668936	apex	aerial_other
SAMN15063953	Anther	aerial_other
SAMN15063952	Anther	aerial_other
SAMN15063951	Anther	aerial_other
SAMN15063950	Anther	aerial_other
SAMN15063949	Anther	aerial_other
SAMN15063948	Anther	aerial_other
SAMN15063947	Anther	aerial_other
SAMN15063946	Anther	aerial_other
SAMN15063945	Anther	aerial_other
SAMN15063944	Anther	aerial_other
SAMN15063943	Anther	aerial_other
SAMN15063942	Anther	aerial_other
SAMN15063941	Anther	aerial_other
SAMN15063940	Anther	aerial_other
SAMN15063939	Anther	aerial_other
SAMN15063938	Anther	aerial_other
SAMN15063937	Anther	aerial_other
SAMN15063936	Anther	aerial_other
SAMN15063935	Anther	aerial_other
SAMN15063934	Anther	aerial_other
SAMN15063933	Anther	aerial_other
SAMN14840156	Leaf tissue	leaf
SAMN14820563	leaves	leaf
SAMN14820562	leaves	leaf
SAMN14820561	leaves	leaf
SAMN14820557	leaves	leaf
SAMN14820556	leaves	leaf
SAMN14820555	leaves	leaf
SAMN14594317	leaves	leaf
SAMN14594316	leaves	leaf
SAMN14594315	leaves	leaf
SAMN13956089	leaf	leaf
SAMN13956088	leaf	leaf
SAMN13956087	leaf	leaf
SAMN13956086	leaf	leaf
SAMN13920860	leaf	leaf
SAMN13510269	Flower	aerial_other
SAMN13510268	Leaf	leaf
SAMN13510267	Stem	aerial_other
SAMN12815734	leaf	leaf
SAMN12815733	leaf	leaf
SAMN12815732	leaf	leaf
SAMN12815731	leaf	leaf
SAMN12815730	leaf	leaf
SAMN12815729	leaf	leaf
SAMN12815728	leaf	leaf
SAMN12815727	leaf	leaf
SAMN12815726	leaf	leaf
SAMN12815725	leaf	leaf
SAMN12815724	leaf	leaf
SAMN12815723	leaf	leaf
SAMN12815722	leaf	leaf
SAMN12815721	leaf	leaf
SAMN12815720	leaf	leaf
SAMN12815719	leaf	leaf
SAMN12815718	leaf	leaf
