stratum	Run	mode	BioSample	BioProject	named_host	host_pct	euk_pct	fungi_pct	oomycete_pct	stat_pathogens	co_infection_flag	same_genus_secondary	llm_treatment	llm_study_setting	expected
F	SRR31639306	hal	SAMN44877747	PRJNA1189193	Hordeum vulgare	33.84	45.91	45.91	0.0	Fusarium proliferatum:9.7%	single	False	abiotic_stress	field	single pathogen, field
F	SRR6925808	hal	SAMN08730617	PRJNA445615	Zea mays	83.66	1.81	1.81	0.0	Alternaria alternata:1.5%	single	False	host_study	field	single pathogen, field
F	SRR30673032	hal	SAMN43620347	PRJNA1161467	Zea mays	84.83	2.67	2.67	0.0	Rhizoctonia solani:2.1%	single	False	single	field	single pathogen, field
F	SRR6279264	hal	SAMN08000493	PRJNA417591	Arachis hypogaea	29.08	34.14	34.14	0.0	Aspergillus flavus:1.5%	single	False	single	field	single pathogen, field
F	ERR4315405	mal	SAMEA7036047	PRJEB39201	Triticum aestivum	21.31	0.15	0.15	0.0		single	False	surveillance	field	single pathogen, field
F	ERR1360193	hal	SAMEA3931317	PRJEB13569	Triticum aestivum	29.0	38.95	38.95	0.0	Cercospora kikuchii:13.4%	single	False	single	field	single pathogen, field
F	SRR33846326	hal	SAMN48898219	PRJNA1272129	Hordeum vulgare	88.08	2.57	2.57	0.0	Bipolaris sorokiniana:1.4%	single	False	host_study	field	single pathogen, field
F	SRR9684530	mal	SAMN12256604	PRJNA554133	Lolium perenne	22.77	0.52	0.52	0.0		single	False	single	field	single pathogen, field
F	SRR13449982	hal	SAMN17360595	PRJNA692674	Glycine max	85.84	4.98	4.98	0.0	Alternaria alternata:2.6%	single	False	surveillance	field	single pathogen, field
F	ERR7421546	hal	SAMEA11296472	PRJEB48949	Vitis vinifera	13.24	39.51	39.51	0.0	Botrytis cinerea:36.5%	single	False	single	field	single pathogen, field
F	SRR9684524	mal	SAMN12256602	PRJNA554133	Lolium perenne	20.1	1.75	1.75	0.0		single	False	single	field	single pathogen, field
F	SRR33330107	mal	SAMN47951735	PRJNA1250817	Triticum aestivum	25.66	26.67	26.67	0.0	Puccinia striiformis:20.7%	single	False	single	field	single pathogen, field
F	ERR2593133	mal	SAMEA4681390	PRJEB26891	Oryza sativa	32.97	9.91	9.91	0.0		single	False	single	field	single pathogen, field
F	SRR1975204	hal	SAMN03486543	PRJNA281236	Vitis vinifera	3.03	17.89	17.89	0.0	Botrytis cinerea:16.5%	single	False	abiotic_stress	field	single pathogen, field
F	SRR11814870	hal	SAMN14917224	PRJNA633940	Setaria italica	87.54	5.18	5.18	0.0	Alternaria alternata:2.0%	single	False	host_study	field	single pathogen, field
F	ERR2593122	mal	SAMEA4681388	PRJEB26891	Oryza sativa	70.98	0.11	0.11	0.0		single	False	single	field	single pathogen, field
F	ERR7421538	hal	SAMEA11296464	PRJEB48949	Vitis vinifera	5.11	42.89	42.89	0.0	Botrytis cinerea:32.9%	single	False	single	field	single pathogen, field
F	SRR8742956	hal	SAMN11159449	PRJNA527782	Sorghum bicolor	65.5	1.7	1.7	0.0	Alternaria alternata:1.4%	single	False	abiotic_stress	field	single pathogen, field
F	SRR17267256	hal	SAMN24108386	PRJNA789389	Glycine max	81.05	7.26	7.26	0.0	Sclerotinia sclerotiorum:7.0%	single	False	single	field	single pathogen, field
F	ERR4315226	mal	SAMEA7035868	PRJEB39201	Triticum aestivum	11.34	0.49	0.49	0.0		single	False	surveillance	field	single pathogen, field
F	ERR7421530	hal	SAMEA11296456	PRJEB48949	Vitis vinifera	28.8	25.93	25.93	0.0	Botrytis cinerea:23.9%	single	False	single	field	single pathogen, field
F	SRR6925804	hal	SAMN08730617	PRJNA445615	Zea mays	73.03	3.74	3.74	0.0	Alternaria alternata:3.1%	single	False	host_study	field	single pathogen, field
F	SRR23704262	hal	SAMN33442894	PRJNA938609	Triticum aestivum	46.64	38.45	38.45	0.0	Puccinia striiformis:38.3%	single	False	single	field	single pathogen, field
F	SRR6925810	hal	SAMN08730617	PRJNA445615	Zea mays	74.95	3.59	3.59	0.0	Alternaria alternata:3.0%	single	False	host_study	field	single pathogen, field
F	SRR11814718	hal	SAMN14917357	PRJNA633940	Setaria italica	82.57	8.26	8.26	0.0	Alternaria alternata:2.5%	single	False	host_study	field	single pathogen, field
F	SRR14614683	hal	SAMN19245828	PRJNA730918	Glycine max	30.63	7.45	7.45	0.0	Cercospora beticola:0.1%	single	False	surveillance	field	single pathogen, field
F	SRR12158784	hal	SAMN15459320	PRJNA644406	Medicago sativa	29.19	7.39	7.39	0.0	Fusarium oxysporum:1.7%	single	False	abiotic_stress	field	single pathogen, field
F	SRR11814761	hal	SAMN14917236	PRJNA633940	Setaria italica	88.89	3.54	3.54	0.0	Alternaria alternata:1.5%	single	False	host_study	field	single pathogen, field
F	ERR4315488	mal	SAMEA7036130	PRJEB39201	Triticum aestivum	14.63	0.1	0.1	0.0		single	False	surveillance	field	single pathogen, field
F	ERR7421522	hal	SAMEA11296448	PRJEB48949	Vitis vinifera	17.09	32.54	32.54	0.0	Botrytis cinerea:29.9%	single	False	single	field	single pathogen, field
F	ERR1954082	mal	SAMEA104037032	PRJEB20582	Triticum aestivum	21.76	0.14	0.14	0.0		single	False	single	field	single pathogen, field
F	ERR2593134	mal	SAMEA4681390	PRJEB26891	Oryza sativa	45.84	15.12	15.12	0.0	Magnaporthe oryzae:14.6%	single	False	single	field	single pathogen, field
F	SRR5225796	hal	SAMN06291433	PRJNA369690	Zea mays	77.71	3.35	3.35	0.0	Setosphaeria turcica:2.8%	single	False	single	field	single pathogen, field
F	ERR4315659	mal	SAMEA7036302	PRJEB39201	Triticum aestivum	9.18	3.02	3.02	0.0		single	False	surveillance	field	single pathogen, field
F	SRR12158783	hal	SAMN15459321	PRJNA644406	Medicago sativa	44.94	4.36	4.36	0.0	Fusarium oxysporum f. sp. cubense:0.1%	single	False	abiotic_stress	field	single pathogen, field
F	ERR4315339	mal	SAMEA7035981	PRJEB39201	Triticum aestivum	26.17	0.19	0.19	0.0		single	False	surveillance	field	single pathogen, field
F	SRR33846329	hal	SAMN48898229	PRJNA1272129	Hordeum vulgare	87.71	2.84	2.84	0.0	Bipolaris sorokiniana:1.7%	single	False	host_study	field	single pathogen, field
F	SRR19372148	hal	SAMN28626069	PRJNA841838	Olea europaea	65.9	7.56	7.56	0.0	Fusarium solani:0.2%	single	False	abiotic_stress	field	single pathogen, field
F	SRR14674050	hal	SAMN19250368	PRJNA731024	Triticum aestivum	70.14	1.55	1.55	0.0	Fusarium graminearum:1.0%	single	False	host_study	field	single pathogen, field
F	ERR4315642	mal	SAMEA7036285	PRJEB39201	Triticum aestivum	21.32	0.15	0.15	0.0		single	False	surveillance	field	single pathogen, field
F	ERR2593119	mal	SAMEA4681389	PRJEB26891	Oryza sativa	36.15	26.57	26.57	0.0	Magnaporthe oryzae:26.1%	single	False	single	field	single pathogen, field
F	SRR31639292	hal	SAMN44877727	PRJNA1189193	Hordeum vulgare	84.84	6.19	6.19	0.0	Fusarium proliferatum:1.4%	single	False	abiotic_stress	field	single pathogen, field
F	SRR1975196	hal	SAMN03486535	PRJNA281236	Vitis vinifera	17.46	4.12	4.12	0.0	Botrytis cinerea:3.7%	single	False	abiotic_stress	field	single pathogen, field
F	SRR8742955	hal	SAMN11159450	PRJNA527782	Sorghum bicolor	67.96	1.39	1.39	0.0	Alternaria alternata:1.1%	single	False	abiotic_stress	field	single pathogen, field
F	SRR5756501	hal	SAMN04384060	PRJNA307634	Litchi chinensis	4.41	1.88	1.88	0.0	Fusarium oxysporum:1.2%	single	False	host_study	field	single pathogen, field
F	SRR27326462	hal	SAMN39079418	PRJNA1055939	Arabidopsis thaliana	67.02	3.45	3.45	0.0	Colletotrichum higginsianum:1.8%	single	False	host_study	field	single pathogen, field
F	SRR8742893	hal	SAMN11159774	PRJNA527782	Sorghum bicolor	61.29	1.44	1.44	0.0	Alternaria alternata:1.1%	single	False	abiotic_stress	field	single pathogen, field
F	SRR25424108	hal	SAMN36698488	PRJNA998097	Brassica rapa subsp. chinensis	84.25	5.64	5.64	0.0	Colletotrichum higginsianum:5.3%	single	False	abiotic_stress	field	single pathogen, field
F	SRR9684539	mal	SAMN12256609	PRJNA554133	Lolium perenne	16.4	2.76	2.76	0.0		single	False	single	field	single pathogen, field
F	SRR14615481	hal	SAMN19243699	PRJNA730888	Glycine max	75.8	2.18	2.18	0.0	Cercospora beticola:1.0%	single	False	surveillance	field	single pathogen, field
F	SRR17207993	hal	SAMN23895761	PRJNA787359	Vitis vinifera	79.47	6.19	6.19	0.0	Alternaria alternata:2.1%	single	False	host_study	field	single pathogen, field
F	ERR7421531	hal	SAMEA11296457	PRJEB48949	Vitis vinifera	1.59	48.22	48.22	0.0	Botrytis cinerea:37.7%	single	False	single	field	single pathogen, field
F	SRR9129869	hal	SAMN11633238	PRJNA306542	Oryza sativa	95.07	1.82	1.82	0.0	Beauveria bassiana ARSEF 2860:1.7%	single	False	abiotic_stress	field	single pathogen, field
F	SRR2973582	hal	SAMN04297159	PRJNA304266	Triticum polonicum	7.25	9.03	9.03	0.0	Fusarium graminearum:5.0%	single	False	host_study	field	single pathogen, field
F	SRR23758649	hal	SAMN33694795	PRJNA302556	Panax ginseng	9.03	4.82	0.0	4.82	Phytophthora infestans:0.8%	single	False	host_study	field	single pathogen, field
F	SRR13587288	hal	SAMN17601134	PRJNA698070	Zea mays subsp. parviglumis	85.17	1.46	1.46	0.0	Fusarium verticillioides 7600:1.1%	single	False	host_study	field	single pathogen, field
F	SRR11364566	hal	SAMN14421471	PRJNA613891	Zea mays	89.02	2.61	2.61	0.0	Fusarium verticillioides 7600:1.5%	single	False	abiotic_stress	field	single pathogen, field
F	ERR7421550	hal	SAMEA11296476	PRJEB48949	Vitis vinifera	27.57	27.25	27.25	0.0	Botrytis cinerea:25.3%	single	False	single	field	single pathogen, field
F	ERR7421541	hal	SAMEA11296467	PRJEB48949	Vitis vinifera	31.28	22.93	22.93	0.0	Botrytis cinerea:20.9%	single	False	single	field	single pathogen, field
F	SRR29848867	hal	SAMN42536699	PRJNA1136561	Zea mays	68.21	12.06	12.06	0.0	Exserohilum turcicum:9.8%	single	False	host_study	field	single pathogen, field
F	ERR2593123	mal	SAMEA4681388	PRJEB26891	Oryza sativa	23.02	57.35	57.35	0.0	Magnaporthe oryzae:56.4%	single	False	single	field	single pathogen, field
F	SRR36824216	hal	SAMN54601373	PRJNA1402668	Oryza sativa	72.02	11.2	11.2	0.0	Fusarium proliferatum:2.9%	single	False	single	field	single pathogen, field
F	SRR9684543	mal	SAMN12256610	PRJNA554133	Lolium perenne	15.93	2.08	2.08	0.0		single	False	single	field	single pathogen, field
F	SRR15141218	hal	SAMN20205264	PRJNA746402	Zea mays	78.24	1.97	1.97	0.0	Exserohilum turcicum:1.6%	single	False	host_study	field	single pathogen, field
