name	kingdom	n_primary	n_secondary	total	top_host
Potyvirus trifolii	Viruses	0	1	1	Vicia faba var. minor
Potyvirus yituberosi	Viruses	0	2	2	Solanum tuberosum
Prune dwarf virus	Viruses	1	0	1	Prunus persica
Prunus necrotic ringspot virus	Viruses	0	1	1	Prunus persica
Pseudomonas fluorescens	Bacteria	0	1	1	Daucus carota subsp. sativus
Pseudostellaria heterophylla carlavirus 1	Viruses	1	0	1	Pseudostellaria heterophylla
Puccinia graminis	Fungi	0	24	24	Triticum aestivum
Puccinia graminis f. sp. tritici	Fungi	0	105	105	Triticum aestivum
Puccinia striiformis	Fungi	158	38	196	Triticum aestivum
Puccinia striiformis f. sp. tritici	Fungi	95	82	177	Triticum aestivum
Puccinia triticina	Fungi	1	0	1	Triticinae
Pyrenophora tritici-repentis	Fungi	0	13	13	Aegilops tauschii subsp. tauschii
Pyricularia oryzae	Fungi	1	3	4	Triticum aestivum
Rehmannia mosaic virus	Viruses	0	1	1	Solanum lycopersicum
Rhizoctonia solani	Fungi	1	0	1	Zea mays
Sclerotinia sclerotiorum	Fungi	1	1	2	Lathyrus oleraceus
Setosphaeria turcica	Fungi	0	1	1	Triticum aestivum
Stemphylium lycopersici	Fungi	0	1	1	IRL clade
Stevia carlavirus 1	Viruses	0	1	1	Pseudostellaria heterophylla
Sugarcane mosaic virus	Viruses	4	0	4	Zea mays
Sweet potato feathery mottle virus	Viruses	7	0	7	Ipomoea batatas
Sweet potato latent virus	Viruses	0	1	1	Ipomoea batatas
Sweet potato virus 2	Viruses	0	4	4	Ipomoea batatas
Sweet potato virus C	Viruses	0	5	5	Ipomoea batatas
Tobacco mosaic virus	Viruses	0	1	1	Solanum lycopersicum
Tobacco ringspot virus	Viruses	9	0	9	Cucumis melo
Tobacco vein banding mosaic virus	Viruses	1	4	5	Nicotiana tabacum
Tomato brown rugose fruit virus	Viruses	1	2	3	Solanum lycopersicum
Tomato yellow leaf curl virus	Viruses	1	0	1	Solanum lycopersicum
Tomato yellow mottle-associated virus	Viruses	1	0	1	Solanum lycopersicum
Trichoderma virens	Fungi	2	1	3	Zea mays
Trichovirus mali	Viruses	1	1	2	Prunus persica
Tulip breaking virus	Viruses	0	1	1	Lilium cernuum
Turnip crinkle virus	Viruses	2	2	4	Arabidopsis thaliana
Turnip mosaic virus	Viruses	4	1	5	Brassica napus
Turnip yellow mosaic virus	Viruses	1	0	1	Brassica rapa
Turnip yellows virus	Viruses	3	3	6	Brassica napus
Umbravirus pisi	Viruses	2	6	8	Lathyrus oleraceus
Ustilago maydis	Fungi	1	0	1	Sorghum bicolor
Waikavirus brassicae	Viruses	1	0	1	Raphanus sativus var. sativus
Watermelon mosaic virus	Viruses	7	24	31	Citrullus lanatus
Wisteria vein mosaic virus	Viruses	0	1	1	Arachis hypogaea
Xanthomonas oryzae	Bacteria	0	3	3	Solanum lycopersicum
Xanthomonas perforans	Bacteria	3	2	5	Solanum lycopersicum
Zucchini tigre mosaic virus	Viruses	6	3	9	Citrullus lanatus
Zucchini yellow mosaic virus	Viruses	20	9	29	Citrullus lanatus
Zymoseptoria tritici	Fungi	0	77	77	Triticum aestivum
papaya virus E	Viruses	1	0	1	Solanum lycopersicum
