BioProject	search	text	outcome
PRJNA1013336	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1203349	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1270936	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1265690	Web search	Manual PDF	Full text retrieved
PRJNA1148437	No DOI found	No DOI	No full text available
PRJNA771518	No DOI found	No DOI	No full text available
PRJNA1108053	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA509214	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1190367	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA471709	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1203203	No DOI found	No DOI	No full text available
PRJNA315516	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJDB37035	No DOI found	No DOI	No full text available
PRJNA417591	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA472447	No DOI found	No DOI	No full text available
PRJNA644406	No DOI found	No DOI	No full text available
PRJNA1290040	No DOI found	No DOI	No full text available
PRJNA1363716	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA541994	No DOI found	No DOI	No full text available
PRJNA1371123	No DOI found	No DOI	No full text available
PRJEB55600	No DOI found	No DOI	No full text available
PRJNA899438	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA830457	No DOI found	No DOI	No full text available
PRJDB38984	No DOI found	No DOI	No full text available
PRJDB5533	No DOI found	No DOI	No full text available
PRJNA308408	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA918425	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1144135	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1015113	No DOI found	No DOI	No full text available
PRJNA610066	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1326257	No DOI found	No DOI	No full text available
PRJNA423161	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA795871	No DOI found	No DOI	No full text available
PRJNA293283	No DOI found	No DOI	No full text available
PRJNA938065	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA477253	No DOI found	No DOI	No full text available
PRJNA1031966	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA542779	No DOI found	No DOI	No full text available
PRJNA755600	Web search	Manual PDF	Full text retrieved
PRJNA681568	No DOI found	No DOI	No full text available
PRJNA662936	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA336471	Web search	Manual PDF	Full text retrieved
PRJNA893349	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJDB13419	No DOI found	No DOI	No full text available
PRJNA1194215	No DOI found	No DOI	No full text available
PRJNA1073691	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA324305	No DOI found	No DOI	No full text available
PRJNA738872	No DOI found	No DOI	No full text available
PRJNA1354973	No DOI found	No DOI	No full text available
PRJEB88178	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA510920	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA854090	No DOI found	No DOI	No full text available
PRJNA1394627	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA495475	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA786267	No DOI found	No DOI	No full text available
PRJNA679433	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA731024	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA613891	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA261444	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1322505	No DOI found	No DOI	No full text available
PRJNA810908	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA907083	No DOI found	No DOI	No full text available
PRJNA714266	No DOI found	No DOI	No full text available
PRJNA644654	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1120176	No DOI found	No DOI	No full text available
PRJNA1015548	No DOI found	No DOI	No full text available
PRJNA1417095	No DOI found	No DOI	No full text available
PRJNA789389	Web search	Manual PDF	Full text retrieved
PRJNA471653	No DOI found	No DOI	No full text available
PRJNA869950	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA414570	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA505650	No DOI found	No DOI	No full text available
PRJNA540228	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA759653	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA808784	No DOI found	No DOI	No full text available
PRJNA1177658	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA861273	No DOI found	No DOI	No full text available
PRJNA1455163	No DOI found	No DOI	No full text available
PRJNA767817	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA605937	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA491716	NCBI (PMID)	No OA copy found	No full text available
PRJNA766564	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA938603	No DOI found	No DOI	No full text available
PRJNA1321556	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA896583	No DOI found	No DOI	No full text available
PRJNA1414443	No DOI found	No DOI	No full text available
PRJNA884711	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1101865	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA824616	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA998000	No DOI found	No DOI	No full text available
PRJNA683746	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA623526	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1255829	Web search	Manual PDF	Full text retrieved
PRJNA930136	No DOI found	No DOI	No full text available
PRJNA281236	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA819267	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1135242	No DOI found	No DOI	No full text available
PRJNA1314400	No DOI found	No DOI	No full text available
PRJNA738667	Web search	Manual PDF	Full text retrieved
PRJNA772299	No DOI found	No DOI	No full text available
PRJNA1094674	No DOI found	No DOI	No full text available
PRJNA1006331	Web search	Manual PDF	Full text retrieved
PRJNA1112547	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1102319	Web search	Unpaywall PDF	Full text retrieved
PRJNA1470446	No DOI found	No DOI	No full text available
PRJNA1216614	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1426942	Web search	No OA copy found	No full text available
PRJNA847036	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA832802	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1142098	No DOI found	No DOI	No full text available
PRJNA808232	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1211507	NCBI (PMID)	PMC OA	Full text retrieved
PRJDB34659	No DOI found	No DOI	No full text available
PRJEB24521	Web search	Unpaywall PDF	Full text retrieved
PRJNA434179	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1135933	NCBI (PMID)	PMC OA	Full text retrieved
PRJEB42393	No DOI found	No DOI	No full text available
PRJNA480740	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1171632	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA794002	No DOI found	No DOI	No full text available
PRJDB19723	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1219206	Web search	Unpaywall PDF	Full text retrieved
PRJNA331148	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA471157	No DOI found	No DOI	No full text available
PRJNA431598	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA339424	No DOI found	No DOI	No full text available
PRJNA1079030	Web search	PMC OA	Full text retrieved
PRJNA360515	No DOI found	No DOI	No full text available
PRJNA1069975	NCBI (PMID)	PMC OA	Full text retrieved
PRJEB98125	No DOI found	No DOI	No full text available
PRJNA717217	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1221348	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1203036	Web search	Manual PDF	Full text retrieved
PRJNA1226203	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA838787	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1276321	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA761556	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1148435	No DOI found	No DOI	No full text available
PRJNA322501	NCBI (PMID)	Manual PDF	Full text retrieved
PRJEB37046	No DOI found	No DOI	No full text available
PRJNA522013	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1018845	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA643674	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1135931	No DOI found	No DOI	No full text available
PRJNA423270	No DOI found	No DOI	No full text available
PRJNA1100217	Web search	Manual PDF	Full text retrieved
PRJNA632579	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1143533	No DOI found	No DOI	No full text available
PRJNA1479129	No DOI found	No DOI	No full text available
PRJNA819278	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA407369	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA274853	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA868217	No DOI found	No DOI	No full text available
PRJNA886841	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1428298	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA911470	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA690691	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA595999	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA811718	No DOI found	No DOI	No full text available
PRJNA358683	No DOI found	No DOI	No full text available
PRJEB39398	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA936260	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA689677	Web search	Manual PDF	Full text retrieved
PRJNA633940	NCBI (PMID)	PMC OA	Full text retrieved
PRJDB38457	No DOI found	No DOI	No full text available
PRJNA509070	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1101972	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1038948	No DOI found	No DOI	No full text available
PRJNA1265958	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1122595	Web search	Manual PDF	Full text retrieved
PRJNA1280538	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA893261	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA674985	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA578698	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1294153	No DOI found	No DOI	No full text available
PRJNA492913	Web search	Manual PDF	Full text retrieved
PRJNA1255857	No DOI found	No DOI	No full text available
PRJNA1475870	No DOI found	No DOI	No full text available
PRJNA997093	Web search	No OA copy found	No full text available
PRJEB10574	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA434655	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA836253	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA987996	No DOI found	No DOI	No full text available
PRJEB36444	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA853857	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA575690	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJDB9607	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1203410	No DOI found	No DOI	No full text available
PRJNA1402668	No DOI found	No DOI	No full text available
PRJNA762085	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA369690	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1152285	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA957090	No DOI found	No DOI	No full text available
PRJNA1475882	No DOI found	No DOI	No full text available
PRJEB79249	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA432638	No DOI found	No DOI	No full text available
PRJNA414966	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA804578	No DOI found	No DOI	No full text available
PRJNA721468	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1073425	No DOI found	No DOI	No full text available
PRJNA1390436	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJDB42527	No DOI found	No DOI	No full text available
PRJNA1434284	No DOI found	No DOI	No full text available
PRJNA833784	No DOI found	No DOI	No full text available
PRJNA597792	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA841031	No DOI found	No DOI	No full text available
PRJDB36677	No DOI found	No DOI	No full text available
PRJNA819072	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA256033	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA485739	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA607858	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA477556	No DOI found	No DOI	No full text available
PRJNA938609	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA294848	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA688902	No DOI found	No DOI	No full text available
PRJNA151401	Web search	Manual PDF	Full text retrieved
PRJEB44745	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1445478	No DOI found	No DOI	No full text available
PRJNA483957	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA606032	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA791784	No DOI found	No DOI	No full text available
PRJNA623421	No DOI found	No DOI	No full text available
PRJNA407898	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA839510	No DOI found	No DOI	No full text available
PRJEB23306	No DOI found	No DOI	No full text available
PRJNA506031	No DOI found	No DOI	No full text available
PRJNA1462868	No DOI found	No DOI	No full text available
PRJNA810958	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA906119	No DOI found	No DOI	No full text available
PRJNA1250220	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1416819	Web search	Manual PDF	Full text retrieved
PRJEB21223	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1425155	No DOI found	No DOI	No full text available
PRJNA306542	NCBI (PMID)	PMC OA	Full text retrieved
PRJEB64683	Web search	Unpaywall PDF	Full text retrieved
PRJDB13025	No DOI found	No DOI	No full text available
PRJNA1478021	No DOI found	No DOI	No full text available
PRJNA549565	No DOI found	No DOI	No full text available
PRJEB24686	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA787359	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1039328	No DOI found	No DOI	No full text available
PRJNA740181	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1452953	No DOI found	No DOI	No full text available
PRJNA1132728	No DOI found	No DOI	No full text available
PRJNA524268	No DOI found	No DOI	No full text available
PRJNA1139942	Web search	Manual PDF	Full text retrieved
PRJNA1245285	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA641462	No DOI found	No DOI	No full text available
PRJNA742147	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA376075	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1264741	No DOI found	No DOI	No full text available
PRJNA523972	No DOI found	No DOI	No full text available
PRJNA1215988	NCBI (PMID)	PMC OA	Full text retrieved
PRJDB36401	No DOI found	No DOI	No full text available
PRJNA1113349	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1464005	No DOI found	No DOI	No full text available
PRJEB47779	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1414147	Web search	Unpaywall PDF	Full text retrieved
PRJNA793045	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA739552	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA322439	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA700112	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1477694	No DOI found	No DOI	No full text available
PRJNA550997	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA526380	No DOI found	No DOI	No full text available
PRJDB9318	No DOI found	No DOI	No full text available
PRJNA1108929	No DOI found	No DOI	No full text available
PRJNA667351	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1147428	No DOI found	No DOI	No full text available
PRJNA1242805	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA579047	No DOI found	No DOI	No full text available
PRJEB88084	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1052939	Web search	Unpaywall PDF	Full text retrieved
PRJNA1036172	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1197544	No DOI found	No DOI	No full text available
PRJNA541959	No DOI found	No DOI	No full text available
PRJNA957941	No DOI found	No DOI	No full text available
PRJNA641330	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA276444	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1038810	No DOI found	No DOI	No full text available
PRJEB13048	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA289545	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA415716	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1187339	No DOI found	No DOI	No full text available
PRJNA782344	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1158526	No DOI found	No DOI	No full text available
PRJNA432224	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA739851	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA209313	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA782220	Web search	Manual PDF	Full text retrieved
PRJNA799026	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA419281	No DOI found	No DOI	No full text available
PRJNA1286949	No DOI found	No DOI	No full text available
PRJNA1416783	No DOI found	No DOI	No full text available
PRJNA780342	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1153365	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1200603	Web search	Manual PDF	Full text retrieved
PRJNA1139870	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA757130	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA979257	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1460992	No DOI found	No DOI	No full text available
PRJNA841838	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1182403	No DOI found	No DOI	No full text available
PRJNA596609	No DOI found	No DOI	No full text available
PRJNA1137117	No DOI found	No DOI	No full text available
PRJNA376551	Web search	Unpaywall PDF	Full text retrieved
PRJNA1203070	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1038947	No DOI found	No DOI	No full text available
PRJNA953858	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA590671	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA983310	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1367956	Web search	PMC OA	Full text retrieved
PRJNA437780	No DOI found	No DOI	No full text available
PRJDB39205	No DOI found	No DOI	No full text available
PRJNA700696	No DOI found	No DOI	No full text available
PRJNA976033	Web search	Manual PDF	Full text retrieved
PRJNA1347427	NCBI (PMID)	PMC OA	Full text retrieved
PRJEB55781	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA553311	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1103823	No DOI found	No DOI	No full text available
PRJNA1426573	NCBI (PMID)	PMC OA	Full text retrieved
PRJDB12449	No DOI found	No DOI	No full text available
PRJNA1274172	No DOI found	No DOI	No full text available
PRJNA231064	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1006160	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA477791	No DOI found	No DOI	No full text available
PRJDB39299	No DOI found	No DOI	No full text available
PRJNA1222764	No DOI found	No DOI	No full text available
PRJNA418121	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA916485	No DOI found	No DOI	No full text available
PRJNA1312333	No DOI found	No DOI	No full text available
PRJNA892450	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1136561	No DOI found	No DOI	No full text available
PRJNA956666	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA819211	No DOI found	No DOI	No full text available
PRJNA575568	No DOI found	No DOI	No full text available
PRJNA1018308	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1181513	Web search	Manual PDF	Full text retrieved
PRJNA749126	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA960823	No DOI found	No DOI	No full text available
PRJNA869553	No DOI found	No DOI	No full text available
PRJNA735336	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1177454	No DOI found	No DOI	No full text available
PRJDB16420	Web search	No OA copy found	No full text available
PRJNA265627	No DOI found	No DOI	No full text available
PRJNA355905	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA701852	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA715112	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1405827	No DOI found	No DOI	No full text available
PRJNA1263823	No DOI found	No DOI	No full text available
PRJNA1307747	Web search	Manual PDF	Full text retrieved
PRJNA1160434	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1143388	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA818435	Web search	Manual PDF	Full text retrieved
PRJNA850847	No DOI found	No DOI	No full text available
PRJNA339565	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA378698	No DOI found	No DOI	No full text available
PRJNA574280	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA646588	NCBI (PMID)	PMC OA	Full text retrieved
PRJDB6779	Web search	Unpaywall PDF	Full text retrieved
PRJNA1400237	No DOI found	No DOI	No full text available
PRJNA352773	No DOI found	No DOI	No full text available
PRJNA957932	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA304266	No DOI found	No DOI	No full text available
PRJNA698070	No DOI found	No DOI	No full text available
PRJNA665613	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA528563	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA980895	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA730918	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1028178	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA541021	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1251656	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA415355	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA764923	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1029904	No DOI found	No DOI	No full text available
PRJNA727473	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA908908	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1160431	No DOI found	No DOI	No full text available
PRJNA1468456	No DOI found	No DOI	No full text available
PRJNA240125	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA976954	No DOI found	No DOI	No full text available
PRJNA868504	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA744887	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJDB36112	No DOI found	No DOI	No full text available
PRJDB12891	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA960915	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1417981	No DOI found	No DOI	No full text available
PRJNA556349	No DOI found	No DOI	No full text available
PRJNA574764	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA859548	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA934741	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1193267	No DOI found	No DOI	No full text available
PRJNA836737	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1276679	No DOI found	No DOI	No full text available
PRJNA1088814	No DOI found	No DOI	No full text available
PRJNA904271	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1337793	No DOI found	No DOI	No full text available
PRJNA432496	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA361024	No DOI found	No DOI	No full text available
PRJNA383416	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA730711	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1039520	Web search	Manual PDF	Full text retrieved
PRJNA649944	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1066067	No DOI found	No DOI	No full text available
PRJNA176022	No DOI found	No DOI	No full text available
PRJEB34899	No DOI found	No DOI	No full text available
PRJNA852375	No DOI found	No DOI	No full text available
PRJNA763324	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1344827	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1356531	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA315041	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1277021	No DOI found	No DOI	No full text available
PRJNA737303	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA271927	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA753546	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA757744	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA787080	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA566021	No DOI found	No DOI	No full text available
PRJNA907016	No DOI found	No DOI	No full text available
PRJEB39262	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA828454	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA545871	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1072674	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA539945	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA961939	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA935025	NCBI (PMID)	PMC OA	Full text retrieved
PRJDB12902	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1402980	No DOI found	No DOI	No full text available
PRJNA611672	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA900521	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA279009	No DOI found	No DOI	No full text available
PRJNA470527	No DOI found	No DOI	No full text available
PRJNA988279	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1006415	No DOI found	No DOI	No full text available
PRJEB88172	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA246735	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1374450	No DOI found	No DOI	No full text available
PRJNA1014593	No DOI found	No DOI	No full text available
PRJDB2278	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA589993	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA548085	No DOI found	No DOI	No full text available
PRJNA384626	No DOI found	No DOI	No full text available
PRJNA1115892	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA716122	No DOI found	No DOI	No full text available
PRJNA1038808	No DOI found	No DOI	No full text available
PRJNA265628	No DOI found	No DOI	No full text available
PRJNA1274897	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA329199	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA391797	No DOI found	No DOI	No full text available
PRJNA1113399	No DOI found	No DOI	No full text available
PRJNA307989	Web search	Manual PDF	Full text retrieved
PRJNA858969	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1010139	No DOI found	No DOI	No full text available
PRJNA490074	No DOI found	No DOI	No full text available
PRJNA476679	NCBI (PMID)	PMC OA	Full text retrieved
PRJDB38806	No DOI found	No DOI	No full text available
PRJNA273659	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA544386	No DOI found	No DOI	No full text available
PRJNA937310	No DOI found	No DOI	No full text available
PRJNA998097	No DOI found	No DOI	No full text available
PRJNA1128586	NCBI (DOI only)	Manual PDF	Full text retrieved
PRJNA476551	No DOI found	No DOI	No full text available
PRJNA589748	No DOI found	No DOI	No full text available
PRJNA1247987	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA695320	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA309643	No DOI found	No DOI	No full text available
PRJNA1261096	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJEB86173	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA477951	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA515933	Web search	Manual PDF	Full text retrieved
PRJNA1211198	Web search	No OA copy found	No full text available
PRJNA307634	No DOI found	No DOI	No full text available
PRJNA839539	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1077452	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA371984	No DOI found	No DOI	No full text available
PRJNA1240083	No DOI found	No DOI	No full text available
PRJNA707066	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1018253	Web search	Manual PDF	Full text retrieved
PRJNA692674	No DOI found	No DOI	No full text available
