BioProject	search	text	outcome
PRJNA373356	No DOI found	No DOI	No full text available
PRJNA587128	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA839570	NCBI (DOI only)	Manual PDF	Full text retrieved
PRJNA764088	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA294234	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA373186	No DOI found	No DOI	No full text available
PRJNA408471	No DOI found	No DOI	No full text available
PRJNA749614	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1289099	No DOI found	No DOI	No full text available
PRJNA408462	No DOI found	No DOI	No full text available
PRJNA373350	No DOI found	No DOI	No full text available
PRJNA408461	No DOI found	No DOI	No full text available
PRJNA660623	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA373355	No DOI found	No DOI	No full text available
PRJNA373352	No DOI found	No DOI	No full text available
PRJNA350867	Web search	Unpaywall PDF	Full text retrieved
PRJNA810452	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1205778	No DOI found	No DOI	No full text available
PRJNA877037	No DOI found	No DOI	No full text available
PRJNA441159	No DOI found	No DOI	No full text available
PRJNA1018533	No DOI found	No DOI	No full text available
PRJNA202292	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA373346	No DOI found	No DOI	No full text available
PRJNA1121488	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA234029	No DOI found	No DOI	No full text available
PRJNA1394492	Web search	No OA copy found	No full text available
PRJNA929181	No DOI found	No DOI	No full text available
PRJNA979975	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA372583	No DOI found	No DOI	No full text available
PRJNA552379	No DOI found	No DOI	No full text available
PRJNA731618	Web search	Manual PDF	Full text retrieved
PRJNA441174	No DOI found	No DOI	No full text available
PRJNA304618	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA441160	No DOI found	No DOI	No full text available
PRJNA408529	No DOI found	No DOI	No full text available
PRJNA441156	No DOI found	No DOI	No full text available
PRJNA372581	No DOI found	No DOI	No full text available
PRJNA373364	No DOI found	No DOI	No full text available
PRJNA279922	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA373357	No DOI found	No DOI	No full text available
PRJNA595343	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA318835	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA373351	No DOI found	No DOI	No full text available
PRJNA373347	No DOI found	No DOI	No full text available
PRJNA408458	No DOI found	No DOI	No full text available
PRJNA372570	No DOI found	No DOI	No full text available
PRJEB6937	Web search	Manual PDF	Full text retrieved
PRJNA381081	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA516233	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA748207	No DOI found	No DOI	No full text available
PRJNA373187	No DOI found	No DOI	No full text available
PRJNA1422174	No DOI found	No DOI	No full text available
PRJNA398030	No DOI found	No DOI	No full text available
PRJNA556551	No DOI found	No DOI	No full text available
PRJNA597539	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA575278	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA601749	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA811762	Web search	Manual PDF	Full text retrieved
PRJNA1011022	Web search	Manual PDF	Full text retrieved
PRJNA1203667	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1220327	Web search	Unpaywall PDF	Full text retrieved
PRJNA1263482	Web search	Manual PDF	Full text retrieved
PRJNA1429803	No DOI found	No DOI	No full text available
PRJNA590139	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA576432	No DOI found	No DOI	No full text available
PRJNA951524	No DOI found	No DOI	No full text available
PRJNA892893	No DOI found	No DOI	No full text available
PRJNA802726	NCBI (DOI only)	PMC OA	Full text retrieved
PRJNA1043184	No DOI found	No DOI	No full text available
PRJNA1089140	No DOI found	No DOI	No full text available
PRJNA1183799	No DOI found	No DOI	No full text available
PRJDB18332	No DOI found	No DOI	No full text available
PRJNA1475403	No DOI found	No DOI	No full text available
PRJNA380230	No DOI found	No DOI	No full text available
PRJNA816480	No DOI found	No DOI	No full text available
