BioProject	doi
PRJNA419139	10.3389/fpls.2018.00522
PRJNA419480	10.1038/s41598-018-20419-9
PRJNA422914	10.1186/s12864-018-5041-y
PRJNA423161	10.1038/s41467-025-61827-6
PRJNA431598	10.1105/tpc.17.00238
PRJNA432224	10.3390/ijms241914885
PRJNA432496	10.1038/s41598-019-49915-2
PRJNA434179	10.1111/mpp.12734
PRJNA434655	10.1371/journal.pone.0214703
PRJNA436064	10.1101/350785v1
PRJNA437324	10.1186/s12870-019-1653-x
PRJNA447872	10.1371/journal.pgen.1007467
PRJNA448328	10.1111/nph.15221
PRJNA450087	10.1186/s12864-018-5012-3
PRJNA450305	10.3389/fpls.2022.996672
PRJNA471709	10.1111/pbi.13082
PRJNA473305	10.1093/gbe/evz040
PRJNA473829	10.7554/eLife.44279
PRJNA473896	10.3389/fmicb.2018.02259
PRJNA476648	10.1101/2020.04.28.061093
PRJNA476679	10.1186/s13059-019-1744-x
PRJNA477359	10.1111/mpp.12984
PRJNA477716	10.1073/pnas.1811267116
PRJNA477951	10.1016/j.dib.2019.104150
PRJNA480740	10.1111/1462-2920.15031
PRJNA480999	10.1016/j.plaphy.2018.08.006
PRJNA483762	10.1038/s41467-019-08726-9
PRJNA483957	10.3389/fpls.2021.657796
PRJNA484520	10.1371/journal.pone.0207036
PRJNA485739	10.3389/fmicb.2019.01474
PRJNA487807	10.3390/microorganisms7110495
PRJNA490563	10.1038/s41564-020-0774-1
PRJNA491634	10.1128/MRA.01064-18
PRJNA491716	10.1038/s41477-019-0509-6
PRJNA492913	10.1111/nph.15904
PRJNA495475	10.1093/jxb/erz345
PRJNA496584	10.1111/mpp.13269
PRJNA501892	10.1186/s12864-019-5517-4
PRJNA503094	10.1128/MRA.01607-18
PRJNA504749	10.1371/journal.pone.0246052
PRJNA505891	10.1105/tpc.18.00930
PRJNA508768	10.1101/2021.08.22.455814
PRJNA509070	10.3390/ijms22094938
PRJNA509214	10.1186/s12870-019-2149-4
PRJNA509606	10.3389/fpls.2019.00268
PRJNA510920	10.1038/s41467-019-09287-7
PRJNA513863	10.1016/j.plantsci.2019.110178
PRJNA514200	10.1038/s41597-019-0140-4
PRJNA515188	10.1038/s41598-020-70882-6
PRJNA515933	10.1038/s41588-019-0425-8
PRJNA516028	10.1128/mBio.00454-19
PRJNA516233	10.3389/fmicb.2020.01122
PRJNA516496	10.1038/s41598-019-56396-w
PRJNA516527	10.1111/pce.13803
PRJNA517178	10.1038/s41598-020-59518-x
PRJNA522013	10.3389/fpls.2024.1345774
PRJNA523226	10.1038/s41467-019-10550-0
PRJNA524397	10.1128/MRA.00214-19
PRJNA524449	10.1128/MRA.00110-19
PRJNA525575	10.1128/MRA.00093-19
PRJNA526829	10.1128/mBio.03304-19
PRJNA527147	10.1111/1462-2920.15432
PRJNA527733	10.3389/fpls.2025.1722162
PRJNA527782	10.1073/pnas.1907500116
PRJNA528563	10.3390/plants8040098
PRJNA529541	10.3390/jof7110977
PRJNA531296	10.3389/fgene.2022.1086356
PRJNA531693	10.1186/s12864-019-6161-8
PRJNA539945	10.3389/fgene.2020.565146
PRJNA540081	10.1126/science.aba5435
PRJNA540228	10.1186/s12864-019-6369-7
PRJNA541021	10.1186/s12864-019-6011-8
PRJNA542165	10.1093/gbe/evz225
PRJNA542720	10.1128/MRA.00766-19
PRJNA545454	10.1042/BSR20201188
PRJNA545805	10.1186/s12864-020-6448-9
PRJNA545871	10.1038/s41598-020-70520-1
PRJNA548392	10.3390/genes11020127
PRJNA548433	10.3390/ijms20246135
PRJNA548845	10.3390/genes16050539
PRJNA549565	10.4236/ajps.2021.125058
PRJNA550997	10.1038/s41438-020-0316-2
PRJNA552611	10.1371/journal.pone.0226106
PRJNA552738	10.3390/jof7020091
PRJNA553311	10.1104/pp.20.00773
PRJNA554133	10.1093/g3journal/jkac043
PRJNA556310	10.1101/2020.09.01.277384
PRJNA560644	10.3389/fmicb.2020.00360
PRJNA562779	10.1016/j.hpj.2025.06.018
PRJNA563186	10.1101/2023.03.16.532963
PRJNA563868	10.1111/mpp.12867
PRJNA564465	10.1073/pnas.1918977117
PRJNA564795	10.3389/fpls.2020.00191
PRJNA565562	10.1128/mSystems.00650-19
PRJNA565800	10.1016/j.pmpp.2020.101464
PRJNA573599	10.1105/tpc.19.00487
PRJNA573931	10.1186/s12870-021-03149-5
PRJNA574280	10.1105/tpc.19.00806
PRJNA574559	10.1093/hr/uhac188
PRJNA574764	10.1111/pbi.13301
PRJNA575278	10.1128/MRA.01292-19
PRJNA575690	10.3389/fpls.2019.01617
PRJNA577523	10.1128/MRA.00473-20
PRJNA577532	10.1093/molbev/msz272
PRJNA578698	10.1016/j.jare.2020.10.004
PRJNA587128	10.1111/mpp.13199
PRJNA588102	10.1093/gbe/evaa071
PRJNA588304	10.1128/MRA.01437-19
PRJNA589754	10.3390/ijms20246278
PRJNA589993	10.3390/ijms21030848
PRJNA590139	10.3390/plants9070820
PRJNA590671	10.3390/ijms26104618
PRJNA591157	10.1186/s12864-020-07141-5
PRJNA593073	10.3390/genes14122223
PRJNA595343	10.3389/fmicb.2020.00051
PRJNA595999	10.1038/s41598-020-73521-2
PRJNA597539	10.1128/MRA.01587-19
PRJNA597792	10.1186/s12870-020-02709-5
PRJNA598331	10.15252/embr.202153400
PRJNA601001	10.1371/journal.pone.0229844
PRJNA601749	10.1371/journal.ppat.1008608
PRJNA605036	10.3389/fmicb.2020.01188
PRJNA605937	10.1111/nph.17312
PRJNA606032	10.1111/nph.16907
PRJNA606340	10.1128/MRA.00096-20
PRJNA607790	10.1128/MRA.00673-20
PRJNA607858	10.3389/fpls.2020.00500
PRJNA609405	10.3389/fmicb.2020.538032
PRJNA610066	10.1038/s41438-020-00387-w
PRJNA610657	10.1128/JB.00792-19
PRJNA611672	10.1371/journal.pone.0233616
PRJNA613154	10.1186/s12863-020-00851-5
PRJNA613891	10.1007/s00122-021-03784-4
PRJNA622764	10.3389/fmicb.2021.711545
PRJNA623526	10.1093/jxb/eraa601
PRJNA625627	10.3389/fgene.2020.00546
PRJNA628162	10.1094/MPMI-05-20-0109-A
PRJNA628751	10.3390/biom10050782
PRJNA629966	10.1186/s12864-024-10445-5
PRJNA630776	10.3389/fpls.2020.570418
PRJNA631873	10.1111/pce.14195
PRJNA632579	10.1038/s41598-019-52444-7
PRJNA633940	10.1093/dnares/dsag005
PRJNA636958	10.1101/2021.03.26.437179
PRJNA637660	10.1094/PHYTO-07-20-0297-A
PRJNA637940	10.1128/mSystems.00499-21
PRJNA640476	10.1016/j.xplc.2023.100775
PRJNA641330	10.1186/s13062-026-00788-2
PRJNA641525	10.3390/ijms23010276
PRJNA643593	10.3897/imafungus.16.143240
PRJNA643674	10.3389/fpls.2021.700446
PRJNA644240	10.3390/plants10122672
PRJNA644654	10.3390/ijms21165759
PRJNA646251	10.1371/journal.pgen.1009376
PRJNA646588	10.3389/fpls.2022.817199
PRJNA646633	10.3389/fmicb.2021.664857
PRJNA649944	10.3389/fpls.2020.551288
PRJNA655998	10.1111/ppa.13398
PRJNA658390	10.1128/AEM.02212-20
PRJNA660623	10.1186/s12864-021-07457-w
PRJNA662919	10.1038/s42003-021-02245-4
PRJNA662936	10.1093/plphys/kiab354
PRJNA664705	10.1128/mSystems.00580-20
PRJNA665613	10.3390/ijms24032088
PRJNA667277	10.1186/s12864-020-07138-0
PRJNA667351	10.1038/s41598-020-77593-y
PRJNA670341	10.1186/s12864-021-08033-y
PRJNA670487	10.1038/s41396-021-01058-x
PRJNA671670	10.1128/spectrum.00264-22
PRJNA672111	10.1093/nar/gkab091
PRJNA673988	10.3390/genes15060749
PRJNA674747	10.1111/nph.17625
PRJNA674985	10.1038/s41467-020-20777-x
PRJNA679433	10.1038/s41598-020-80280-7
PRJNA680190	10.3390/v13040583
PRJNA681878	10.1186/s12870-021-03245-6
PRJNA683746	10.1186/s12870-021-03393-9
PRJNA686475	10.1094/MPMI-06-21-0148-A
PRJNA687280	10.1186/s12864-021-07655-6
PRJNA689117	10.3389/fmicb.2022.837056
PRJNA689677	10.1094/PHYTO-05-21-0184-A
PRJNA690691	10.1038/s41467-021-22660-9
PRJNA692809	10.3389/fmicb.2022.818291
PRJNA694214	10.3389/fpls.2022.874654
PRJNA695320	10.3389/fpls.2021.670216
PRJNA698760	10.1128/spectrum.00349-22
PRJNA700112	10.3390/genes12060869
PRJNA700975	10.3390/jof7020150
PRJNA701852	10.3389/fpls.2021.666660
PRJNA705878	10.1186/s12915-021-01100-6
PRJNA706136	10.1007/s00122-023-04335-9
PRJNA707066	10.3389/fpls.2022.977056
PRJNA714375	10.1111/pbi.13693
PRJNA715088	10.15835/nbha50112640
PRJNA715112	10.1038/s41396-021-01138-y
PRJNA717217	10.3389/fpls.2021.692036
PRJNA720576	10.1186/s12864-022-08721-3
PRJNA721132	10.1111/nph.18117
PRJNA721299	10.7717/peerj.12968
PRJNA721468	10.3389/fpls.2021.664733
PRJNA721951	10.3390/genes12111789
PRJNA725323	10.1186/s13059-022-02658-2
PRJNA725619	10.1101/2021.05.05.442799
PRJNA727473	10.1038/s41588-022-01127-7
PRJNA728113	10.3389/fpls.2021.701969
PRJNA730711	10.1186/s13059-021-02446-4
PRJNA730888	10.1186/s12985-022-01872-5
PRJNA730918	10.1186/s12985-022-01872-5
PRJNA731024	10.1186/s12864-021-07800-1
PRJNA731618	10.1094/PHYTO-01-21-0032-R
PRJNA733882	10.1093/aob/mcac102
PRJNA735336	10.1186/s12870-025-06495-w
PRJNA737303	10.3389/fpls.2021.717643
PRJNA738667	10.1016/j.molp.2021.07.008
PRJNA739552	10.3389/fpls.2022.723356
PRJNA739688	10.1126/science.abj1342
PRJNA739851	10.1093/plcell/koab221
PRJNA740181	10.1111/tpj.15598
PRJNA742147	10.1093/plphys/kiab496
PRJNA743515	10.1111/mpp.13155
PRJNA744887	10.3389/fpls.2023.1212135
PRJNA745147	10.1016/j.jgr.2022.03.005
PRJNA746402	10.3389/fgene.2021.716821
PRJNA749126	10.3389/fpls.2021.721436
PRJNA749614	10.1371/journal.pone.0280004
PRJNA750086	10.1093/plphys/kiac038
PRJNA751374	10.3389/ffunb.2021.718557
PRJNA753546	10.1186/s12864-022-09001-w
PRJNA755474	10.1186/s13059-021-02568-9
PRJNA755600	10.1111/nph.18277
