count	tissue
2	leaf52
2	leaf51
2	leaf50
2	leaf49
2	leaf48
2	leaf47
2	leaf46
2	leaf45
2	leaf44
2	leaf43
2	leaf42
2	leaf41
2	leaf40
2	leaf39
2	leaf38
2	leaf37
2	leaf36
2	leaf35
2	leaf34
2	leaf33
2	leaf32
2	leaf31
2	leaf30
2	leaf29
2	leaf28
2	leaf27
2	leaf26
2	leaf25
2	leaf24
2	leaf23
2	leaf22
2	leaf21
2	leaf20
2	leaf19
2	Whole plants of Berchemia polyphylla var. Leioclada and rhizospheric soil
2	Gametophyte
2	plant leave
2	Root tip
2	trunk
2	Pericarp
2	Stem tip from Homologous grafting GD/GD 3
2	Stem tip from Homologous grafting GD/GD 2
2	Stem tip from Homologous grafting GD/GD 1
2	Tepals
2	immature ear
2	floral bud
2	Yellow leaf
2	Yellow leaf protoplast
2	flash-frozen leaves
2	pulp
1	Flesh
1	above ground vegetative plant parts (leaf, stem)
1	leaf and flower
1	Influorescence
1	unknown
1	Anthesis
1	shoot_319
1	shoot_318
1	shoot_317
1	shoot_316
1	shoot_315
1	shoot_314
1	shoot_313
1	shoot_312
1	shoot_311
1	shoot_310
1	shoot_309
1	shoot_308
1	shoot_307
1	shoot_306
1	shoot_305
1	shoot_304
1	shoot_303
1	shoot_302
1	shoot_301
1	shoot_300
1	shoot_299
1	shoot_298
1	shoot_297
1	shoot_296
1	shoot_295
1	shoot_294
1	shoot_293
1	shoot_292
1	shoot_291
1	shoot_290
1	shoot_289
1	shoot_288
1	shoot_287
1	shoot_286
1	shoot_285
1	shoot_284
1	shoot_283
1	shoot_282
1	shoot_281
1	shoot_280
1	shoot_279
1	shoot_278
1	shoot_277
1	shoot_276
1	shoot_275
1	shoot_274
1	shoot_273
1	shoot_272
1	shoot_271
1	shoot_270
1	shoot_269
1	shoot_268
1	shoot_267
1	shoot_266
1	shoot_265
1	shoot_264
1	shoot_263
1	shoot_262
1	shoot_261
1	shoot_260
1	shoot_259
1	shoot_258
1	shoot_257
1	shoot_256
1	shoot_255
1	shoot_254
1	shoot_253
1	shoot_252
1	shoot_251
1	shoot_250
1	shoot_249
1	shoot_248
1	shoot_247
1	shoot_246
1	shoot_245
1	shoot_244
1	shoot_243
1	shoot_242
1	shoot_241
1	shoot_240
1	shoot_239
1	shoot_238
1	shoot_237
1	shoot_236
1	shoot_235
1	shoot_234
1	shoot_233
1	shoot_232
1	shoot_231
1	shoot_230
1	shoot_229
1	shoot_228
1	shoot_227
1	shoot_226
1	shoot_225
1	shoot_224
1	shoot_223
1	shoot_222
1	shoot_221
1	shoot_220
1	shoot_219
1	shoot_218
1	shoot_217
1	shoot_216
1	shoot_215
1	shoot_214
1	shoot_213
1	shoot_212
1	shoot_211
1	shoot_210
1	shoot_209
1	shoot_208
1	shoot_207
1	shoot_206
1	shoot_205
1	shoot_204
1	shoot_203
1	shoot_202
1	shoot_201
1	shoot_200
1	shoot_199
1	shoot_198
1	shoot_197
1	shoot_196
1	shoot_195
1	shoot_194
1	shoot_193
1	shoot_192
1	shoot_191
1	shoot_190
1	shoot_189
1	shoot_188
1	shoot_187
1	shoot_186
1	shoot_185
1	shoot_184
1	shoot_183
1	shoot_182
1	shoot_181
1	shoot_180
1	shoot_179
1	shoot_178
1	shoot_177
1	shoot_176
1	shoot_175
1	shoot_174
1	shoot_173
1	shoot_172
1	shoot_171
1	shoot_170
1	shoot_169
1	shoot_168
1	shoot_167
1	shoot_166
1	shoot_165
1	shoot_164
1	shoot_163
1	shoot_162
1	shoot_161
1	shoot_160
1	shoot_159
1	shoot_158
1	shoot_157
1	shoot_156
1	shoot_155
1	shoot_154
1	shoot_153
1	shoot_152
1	shoot_151
1	shoot_150
1	shoot_149
1	shoot_148
1	shoot_147
1	shoot_146
1	shoot_145
1	shoot_144
1	shoot_143
1	shoot_142
1	shoot_141
1	shoot_140
1	shoot_139
1	shoot_138
1	shoot_137
1	shoot_136
1	shoot_135
1	shoot_134
1	shoot_133
1	shoot_132
1	shoot_131
1	shoot_130
1	shoot_129
1	shoot_128
1	shoot_127
1	shoot_126
1	shoot_125
1	shoot_124
1	shoot_123
1	shoot_122
1	shoot_121
1	shoot_120
1	shoot_119
1	shoot_118
1	shoot_117
1	shoot_116
1	shoot_115
1	shoot_114
1	shoot_113
1	shoot_112
1	shoot_111
1	shoot_110
1	shoot_109
1	shoot_108
1	shoot_107
1	shoot_106
1	shoot_105
1	shoot_104
1	shoot_103
1	shoot_102
1	shoot_101
1	shoot_100
1	shoot_99
1	shoot_98
1	shoot_97
1	shoot_96
1	shoot_95
1	shoot_94
1	shoot_93
1	shoot_92
1	shoot_91
1	shoot_90
1	shoot_89
1	shoot_88
1	shoot_87
1	shoot_86
1	shoot_85
1	shoot_84
1	shoot_83
1	shoot_82
1	shoot_81
1	shoot_80
1	shoot_79
1	shoot_78
1	shoot_77
1	shoot_76
1	shoot_75
1	shoot_74
1	shoot_73
1	shoot_72
1	shoot_71
1	shoot_70
1	shoot_69
1	shoot_68
1	shoot_67
1	shoot_66
1	shoot_65
1	shoot_64
1	shoot_63
1	shoot_62
1	shoot_61
1	shoot_60
1	shoot_59
1	shoot_58
1	shoot_57
1	shoot_56
1	shoot_55
1	shoot_54
1	shoot_53
1	shoot_52
1	shoot_51
1	shoot_50
1	shoot_49
1	shoot_48
1	shoot_47
1	shoot_46
1	shoot_45
1	shoot_44
1	shoot_43
1	shoot_42
1	shoot_41
1	shoot_40
1	shoot_39
1	shoot_38
1	shoot_37
1	shoot_36
1	shoot_35
1	shoot_34
1	shoot_33
1	shoot_32
1	shoot_31
1	shoot_30
1	shoot_29
1	shoot_28
1	shoot_27
1	shoot_26
1	shoot_25
1	shoot_24
1	shoot_23
1	shoot_22
1	shoot_21
1	shoot_20
1	shoot_19
1	shoot_18
1	shoot_17
1	shoot_16
1	shoot_15
1	shoot_14
1	shoot_13
1	shoot_12
1	shoot_11
1	shoot_10
1	shoot_9
1	shoot_8
1	shoot_7
1	shoot_6
1	shoot_5
1	shoot_4
1	shoot_3
1	shoot_2
1	shoot_1
1	cotyledonary petiole
1	secondary pulvini
1	tertiary pulvini flexor
1	tertiary pulvini extensor
1	primary pulvini adaxial side
1	primary pulvini abaxial side
1	inflorescence buds
1	leaflet
1	whole plant (night time)
1	whole plant (day time)
1	mixed tissue
1	Young Leaf
1	mixed
1	valve
1	Shoot and cambium
1	etiolated leaf
1	Leaves & stem
1	whole plant1
1	leaf，replicate = biological replicate 6
1	leaf，replicate = biological replicate 5
1	leaf，replicate = biological replicate 4
1	leaf，replicate = biological replicate 3
1	leaf，replicate = biological replicate 2
1	leaf，replicate = biological replicate 1
1	Callus tissue，replicate = biological replicate 15
1	Callus tissue，replicate = biological replicate 14
1	Callus tissue，replicate = biological replicate 13
1	Callus tissue，replicate = biological replicate 12
1	Callus tissue，replicate = biological replicate 11
1	Callus tissue，replicate = biological replicate 10
1	Callus tissue，replicate = biological replicate 9
1	Callus tissue，replicate = biological replicate 8
1	Callus tissue，replicate = biological replicate 7
1	Callus tissue，replicate = biological replicate 6
1	Callus tissue，replicate = biological replicate 5
1	Callus tissue，replicate = biological replicate 4
1	Callus tissue，replicate = biological replicate 3
1	Callus tissue，replicate = biological replicate 2
1	Callus tissue，replicate = biological replicate 1
