# Unpaywall coverage — 725 unique DOIs
doi	bp	has_methods	is_oa	status	host	version	pdf_url
10.1038/s41467-026-69508-8	PRJNA1267768	True	True	gold	publisher	publishedVersion	https://www.nature.com/articles/s41467-026-69508-8_reference.pdf
10.1101/350785v1	PRJNA436064	False	False	error			
10.1111/ppa.13398	PRJNA655998	False	True	hybrid	publisher	publishedVersion	https://doi.org/10.1111/ppa.13398
10.3390/jof8070672	PRJNA841073	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/2309-608X/8/7/672/pdf?version=1657089504
10.1186/s12864-016-2546-0	PRJNA293991	True	True	gold	publisher	publishedVersion	https://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-016-2546-0
10.1101/gr.280359.124	PRJNA1195871	True	True	bronze	publisher	publishedVersion	http://genome.cshlp.org/content/early/2025/04/10/gr.280359.124.full.pdf
10.3390/ijms24108705	PRJNA932210	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/1422-0067/24/10/8705/pdf?version=1683953387
10.1038/ng.2372	PRJNA151285	True	True	hybrid	publisher	publishedVersion	https://www.nature.com/articles/ng.2372.pdf
10.1128/spectrum.00226-25	PRJNA1164193	True	True	gold	publisher	publishedVersion	https://doi.org/10.1128/spectrum.00226-25
10.1104/pp.114.255927	PRJEB8798	True	True	hybrid	publisher	publishedVersion	http://www.plantphysiol.org/content/plantphysiol/167/3/1158.full.pdf
10.1371/journal.pone.0219207	PRJNA250530	True	True	gold	publisher	publishedVersion	https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0219207&type=printable
10.1186/s12864-017-4151-2	PRJNA407960	True	True	gold	publisher	publishedVersion	https://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-017-4151-2
10.3390/plants10122672	PRJNA644240	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/2223-7747/10/12/2672/pdf?version=1638700021
10.1038/s42003-026-10018-0	PRJNA1231252	True	True	gold	publisher	publishedVersion	https://www.nature.com/articles/s42003-026-10018-0_reference.pdf
10.1186/s12915-021-01123-z	PRJNA415866	True	True	gold	publisher	publishedVersion	https://bmcbiol.biomedcentral.com/track/pdf/10.1186/s12915-021-01123-z
10.1186/s12864-020-07141-5	PRJNA591157	True	True	gold	publisher	publishedVersion	https://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-020-07141-5
10.3390/ijms24054376	PRJNA874673	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/1422-0067/24/5/4376/pdf?version=1677480262
10.3390/genes15060749	PRJNA673988	True	True	gold	publisher	publishedVersion	https://doi.org/10.3390/genes15060749
10.1094/MPMI-05-20-0109-A	PRJNA628162	False	True	bronze	publisher	publishedVersion	https://apsjournals.apsnet.org/doi/pdf/10.1094/MPMI-05-20-0109-A
10.3390/jof7110977	PRJNA529541	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/2309-608X/7/11/977/pdf?version=1637144603
10.1371/journal.ppat.1010860	PRJNA803733	True	True	gold	publisher	publishedVersion	https://doi.org/10.1371/journal.ppat.1010860
10.1371/journal.pgen.1009376	PRJNA646251	True	True	gold	publisher	publishedVersion	https://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1009376&type=printable
10.1186/s12915-024-02043-4	PRJNA1158549	True	True	gold	publisher	publishedVersion	https://doi.org/10.1186/s12915-024-02043-4
10.1101/2026.05.09.724051	PRJNA1457771	False	False	error			
10.1128/mbio.02442-22	PRJNA849030	True	True	gold	publisher	publishedVersion	https://journals.asm.org/doi/pdf/10.1128/mbio.02442-22?download=true
10.1128/mBio.03304-19	PRJNA526829	True	True	gold	publisher	publishedVersion	https://doi.org/10.1128/mbio.03304-19
10.1093/g3journal/jkac043	PRJNA554133	True	True	gold	publisher	publishedVersion	https://academic.oup.com/g3journal/article-pdf/12/4/jkac043/46562574/jkac043.pdf
10.1371/journal.ppat.1007666	PRJEB75530	True	True	gold	publisher	publishedVersion	https://journals.plos.org/plospathogens/article/file?id=10.1371/journal.ppat.1007666&type=printable
10.1111/mpp.13269	PRJNA496584	True	True	gold	publisher	publishedVersion	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/mpp.13269
# 100/725 done
10.3389/fmicb.2022.818291	PRJNA692809	True	True	gold	publisher	publishedVersion	https://doi.org/10.3389/fmicb.2022.818291
10.7554/eLife.22472	PRJNA341340	True	True	gold	publisher	publishedVersion	https://doi.org/10.7554/elife.22472
10.1038/s42003-018-0013-y	PRJEB22223	True	True	gold	publisher	publishedVersion	https://www.nature.com/articles/s42003-018-0013-y.pdf
10.1126/science.abj1342	PRJNA739688	True	True	green	repository	acceptedVersion	https://eprints.whiterose.ac.uk/177224/1/Sabbadin_et_al_Science_2021.pdf
10.1016/j.pmpp.2020.101464	PRJNA565800	False	True	hybrid	publisher	publishedVersion	https://doi.org/10.1016/j.pmpp.2020.101464
10.1080/15476286.2022.2043040	PRJNA179498	True	True	gold	publisher	publishedVersion	https://www.tandfonline.com/doi/pdf/10.1080/15476286.2022.2043040?needAccess=true
10.3390/microorganisms10122414	PRJNA863277	True	True	gold	publisher	publishedVersion	https://doi.org/10.3390/microorganisms10122414
10.1111/nph.18117	PRJNA721132	False	False	closed			
10.3390/jof8100998	PRJNA832871	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/2309-608X/8/10/998/pdf?version=1664524318
10.1093/molbev/msad186	PRJDB15953	True	True	gold	publisher	publishedVersion	https://academic.oup.com/mbe/advance-article-pdf/doi/10.1093/molbev/msad186/51172134/msad186.pdf
10.1111/mpp.70042	PRJNA396467	True	True	gold	publisher	publishedVersion	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/mpp.70042
10.1371/journal.ppat.1004801	PRJNA259589	True	True	gold	publisher	publishedVersion	https://journals.plos.org/plospathogens/article/file?id=10.1371/journal.ppat.1004801&type=printable
10.3390/jof11050397	PRJNA799676	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/2309-608X/11/5/397/pdf?version=1747817858
10.3389/fmicb.2021.711545	PRJNA622764	True	True	gold	publisher	publishedVersion	https://www.frontiersin.org/articles/10.3389/fmicb.2021.711545/pdf
10.1186/s12864-020-6448-9	PRJNA545805	True	True	gold	publisher	publishedVersion	https://bmcgenomics.biomedcentral.com/counter/pdf/10.1186/s12864-020-6448-9
10.1186/s12864-026-12964-9	PRJNA1181034	True	True	gold	publisher	publishedVersion	https://doi.org/10.1186/s12864-026-12964-9
10.1111/mpp.12869	PRJDB8014	True	True	gold	publisher	publishedVersion	https://bsppjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/mpp.12869
10.1186/s12864-019-5517-4	PRJNA501892	True	True	gold	publisher	publishedVersion	https://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-5517-4
10.1094/PHYTO-12-24-0397-R	PRJNA1122550	False	False	closed			
10.1371/journal.pone.0163803	PRJNA326901	True	True	gold	publisher	publishedVersion	https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0163803&type=printable
10.1038/s41598-022-27030-z	PRJEB55233	True	True	gold	publisher	publishedVersion	https://www.nature.com/articles/s41598-022-27030-z.pdf
10.1371/journal.pone.0229844	PRJNA601001	True	True	gold	publisher	publishedVersion	https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0229844&type=printable
10.1101/2020.09.01.277384	PRJNA556310	False	True	green	repository	acceptedVersion	https://www.biorxiv.org/content/biorxiv/early/2020/09/01/2020.09.01.277384.full.pdf
10.3389/fpls.2014.00435	PRJNA246736	True	True	gold	publisher	publishedVersion	https://www.frontiersin.org/articles/10.3389/fpls.2014.00435/pdf
10.1073/pnas.1811267116	PRJNA477716	True	True	hybrid	publisher	publishedVersion	https://www.pnas.org/content/pnas/116/8/3193.full.pdf
10.1126/science.aaq0892	PRJNA418175	False	True	green	repository	submittedVersion	http://hdl.handle.net/10026.1/11165
10.1371/journal.pbio.3001945	PRJEB53625	True	True	gold	publisher	publishedVersion	https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.3001945&type=printable
10.1186/s42483-022-00144-y	PRJNA857179	True	True	gold	publisher	publishedVersion	https://phytopatholres.biomedcentral.com/counter/pdf/10.1186/s42483-022-00144-y
10.3389/fpls.2016.01784	PRJNA328045	True	True	gold	publisher	publishedVersion	https://www.frontiersin.org/articles/10.3389/fpls.2016.01784/pdf
10.1111/mpp.13413	PRJNA1043471	True	True	gold	publisher	publishedVersion	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/mpp.13413
10.1101/2026.04.23.720444	PRJNA1454804	False	False	error			
10.1101/2025.10.14.682320	PRJNA1279063	False	True	green	repository	acceptedVersion	https://www.biorxiv.org/content/biorxiv/early/2025/10/15/2025.10.14.682320.full.pdf
10.3390/toxins8020046	PRJNA300619	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/2072-6651/8/2/46/pdf?version=1455528397
10.1128/mSystems.00499-21	PRJNA637940	True	True	gold	publisher	publishedVersion	https://doi.org/10.1128/msystems.00499-21
10.3389/ffunb.2021.718557	PRJNA751374	True	True	gold	publisher	publishedVersion	https://www.frontiersin.org/articles/10.3389/ffunb.2021.718557/pdf
10.1186/s12864-017-3678-6	PRJNA347320	True	True	gold	publisher	publishedVersion	https://bmcgenomics.biomedcentral.com/counter/pdf/10.1186/s12864-017-3678-6
10.3389/fgene.2023.1166832	PRJNA909570	True	True	gold	publisher	publishedVersion	https://www.frontiersin.org/articles/10.3389/fgene.2023.1166832/pdf
10.1371/journal.pgen.1008272	PRJNA355407	True	True	gold	publisher	publishedVersion	https://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1008272&type=printable
10.1094/MPMI-11-23-0181-R	PRJNA290690	False	True	gold	publisher	publishedVersion	https://doi.org/10.1094/mpmi-11-23-0181-r
10.1371/journal.ppat.1005697	PRJNA306679	True	True	gold	publisher	publishedVersion	https://journals.plos.org/plospathogens/article/file?id=10.1371/journal.ppat.1005697&type=printable
10.1093/g3journal/jkaf084	PRJNA1187605	True	True	gold	publisher	publishedVersion	https://academic.oup.com/g3journal/advance-article-pdf/doi/10.1093/g3journal/jkaf084/63053970/jkaf084.pdf
10.1128/AEM.02212-20	PRJNA658390	True	True	green	repository	submittedVersion	https://www.ncbi.nlm.nih.gov/pmc/articles/7755254
10.1038/s41467-024-49110-6	PRJNA1065649	True	True	gold	publisher	publishedVersion	https://doi.org/10.1038/s41467-024-49110-6
10.1111/mpp.13155	PRJNA743515	True	True	gold	publisher	publishedVersion	https://doi.org/10.1111/mpp.13155
10.1111/nph.17625	PRJNA674747	False	True	green	repository	submittedVersion	https://nbn-resolving.org/urn:nbn:de:hebis:30:3-639598
10.1007/s44154-023-00109-x	PRJNA956133	True	True	gold	publisher	publishedVersion	https://link.springer.com/content/pdf/10.1007/s44154-023-00109-x.pdf
10.1038/ncomms2427	PRJNA147097	True	True	hybrid	publisher	publishedVersion	https://www.nature.com/articles/ncomms2427.pdf
10.3389/fmicb.2016.01113	PRJNA293109	True	True	gold	publisher	publishedVersion	https://www.frontiersin.org/articles/10.3389/fmicb.2016.01113/pdf
10.1073/pnas.2418766122	PRJNA971132	True	True	hybrid	publisher	publishedVersion	https://doi.org/10.1073/pnas.2418766122
10.1111/pce.14195	PRJNA631873	False	False	closed			
# 150/725 done
10.1038/s41597-024-03361-6	PRJNA1025922	True	True	gold	publisher	publishedVersion	https://doi.org/10.1038/s41597-024-03361-6
10.1093/gbe/evu101	PRJNA237967	True	True	gold	publisher	publishedVersion	https://academic.oup.com/gbe/article-pdf/6/6/1353/17922438/evu101.pdf
10.1111/mpp.13309	PRJNA86753	True	True	gold	publisher	publishedVersion	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/mpp.13309
10.1073/pnas.1918977117	PRJNA564465	True	True	green	repository	submittedVersion	https://www.ncbi.nlm.nih.gov/pmc/articles/7245131
10.1038/s41467-025-63632-7	PRJNA896582	True	True	gold	publisher	publishedVersion	https://www.nature.com/articles/s41467-025-63632-7.pdf
10.3390/jof8060606	PRJNA809650	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/2309-608X/8/6/606/pdf?version=1654566252
10.3390/jof6040314	PRJNA926806	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/2309-608X/6/4/314/pdf
10.3389/fmicb.2018.02259	PRJNA473896	True	True	gold	publisher	publishedVersion	https://www.frontiersin.org/articles/10.3389/fmicb.2018.02259/pdf
10.1016/j.micres.2024.127836	PRJNA1085399	False	True	hybrid	publisher	publishedVersion	https://doi.org/10.1016/j.micres.2024.127836
10.3389/fpls.2025.1628068	PRJNA1237996	True	True	gold	publisher	publishedVersion	https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2025.1628068/pdf
10.1002/advs.202518591	PRJNA813432	True	True	gold	publisher	publishedVersion	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202518591
10.1186/s12864-016-2684-4	PRJEB12497	True	True	gold	publisher	publishedVersion	https://bmcgenomics.biomedcentral.com/counter/pdf/10.1186/s12864-016-2684-4
10.3390/jof9100988	PRJNA1011491	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/2309-608X/9/10/988/pdf?version=1696411559
10.1101/2020.04.28.061093	PRJNA476648	False	True	green	repository	acceptedVersion	https://www.biorxiv.org/content/biorxiv/early/2020/04/29/2020.04.28.061093.full.pdf
10.1038/s41467-023-37551-4	PRJEB44222	True	True	gold	publisher	publishedVersion	https://www.nature.com/articles/s41467-023-37551-4.pdf
10.3390/ijms24119440	PRJNA956871	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/1422-0067/24/11/9440/pdf?version=1685428684
10.1111/ppa.14111	PRJNA910335	False	True	hybrid	publisher	publishedVersion	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ppa.14111
10.1038/s41467-019-10550-0	PRJNA523226	True	True	gold	publisher	publishedVersion	https://www.nature.com/articles/s41467-019-10550-0.pdf
10.1038/s41467-023-43442-5	PRJNA975738	True	True	gold	publisher	publishedVersion	https://www.nature.com/articles/s41467-023-43442-5.pdf
10.1128/JB.00792-19	PRJNA610657	True	True	green	repository	submittedVersion	https://www.ncbi.nlm.nih.gov/pmc/articles/7283599
10.1186/s12863-020-00851-5	PRJNA613154	True	True	gold	publisher	publishedVersion	https://bmcgenomdata.biomedcentral.com/track/pdf/10.1186/s12863-020-00851-5
10.1128/spectrum.02091-25	PRJNA1338360	True	True	gold	publisher	publishedVersion	https://doi.org/10.1128/spectrum.02091-25
10.1371/journal.pgen.1007467	PRJNA447872	True	True	gold	publisher	publishedVersion	https://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1007467&type=printable
10.1186/s12864-015-2193-x	PRJNA344467	True	True	gold	publisher	publishedVersion	https://bmcgenomics.biomedcentral.com/counter/pdf/10.1186/s12864-015-2193-x
10.1186/s12864-021-08033-y	PRJNA670341	True	True	gold	publisher	publishedVersion	https://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-021-08033-y
10.1111/jipb.13772	PRJNA1148379	False	False	closed			
10.1016/j.gene.2014.06.029	PRJNA245071	False	False	closed			
