mode	Run	BioSample	BioProject	biosample_rep	sra_organism	stat_top_pathogen	stat_top_pct	meta_pathogen	mismatch_flag	bp_title
mal	SRR8718837	SAMN11111094	PRJNA526829	True	Pyricularia oryzae			magnaporthe oryzae	stat_undetected	Magnaporthe oryzae Auxiliary Activity Protein MoAa91 Functions as Chitin-Binding Protein To Induce Appressorium Formation on Artificial Inductive Surfaces and Suppress Plant Immunity
mal	SRR2517436	SAMN04110539	PRJNA296894	True	Blumeria graminis			blumeria graminis	stat_undetected	Transcriptomic analysis of Blumeria graminis triticale on different hosts
mal	SRR19018798	SAMN27865516	PRJNA832871	True	Phytophthora sojae	Phytophthora sojae	77.42	phytophthora sojae	all_match	Identification of a C2H2 Transcription Factor (PsCZF3) Associated with RxLR Effectors and Carbohydrate-Active Enzymes in Phytophthora sojae Based on WGCNA.
mal	ERR4315151	SAMEA7035792	PRJEB39201	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR4315258	SAMEA7035900	PRJEB39201	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	SRR1555102	SAMN02943234	PRJNA256347	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Field pathogenomics of PST-infected wheat and triticale
mal	SRR3038908	SAMN04359678	PRJNA306679	True	Mycosarcoma maydis	Ustilago maydis	7.52	ustilago maydis	both_conflict	The WOPR protein Ros1 is a master regulator of sporogenesis and effector gene expression in the maize pathogen Ustilago maydis [RNA-Seq]
mal	SRR15319001	SAMN20514955	PRJNA751374	True	Trichoderma virens			trichoderma virens	stat_undetected	Early Transcriptome Response of Trichoderma virens to Colonization of Maize Roots.
mal	SRR18253503	SAMN26502479	PRJNA813432	True	Heterodera glycines				stat_undetected	
mal	ERR8571433	SAMEA12991620	PRJEB50522	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	RNA-seq data of Puccinia striiformis f. sp. tritici infection of wheat
mal	SRR23410640	SAMN33247353	PRJNA935094	True	Botrytis cinerea			botrytis cinerea b05.10	stat_undetected	Botrytis cinerea B05.10 Transcriptome or Gene expression
mal	ERR13108602	SAMEA115577702	PRJEB75530	True	Fusarium graminearum PH-1			fusarium graminearum	stat_undetected	A spatial temporal RNA-seq of Fusarium graminearum during symptomless and symptomatic wheat infection
mal	ERR6847877	SAMEA9973410	PRJEB47693	True	Puccinia graminis f. sp. tritici	Puccinia graminis	45.09	puccinia graminis f. sp. tritici	all_match	Wheat stem rust recorded for the first time in decades in Ireland.
mal	ERR13107145	SAMEA115577688	PRJEB75530	True	Fusarium graminearum PH-1	Fusarium graminearum	12.9	fusarium graminearum	all_match	A spatial temporal RNA-seq of Fusarium graminearum during symptomless and symptomatic wheat infection
mal	ERR6847897	SAMEA9973430	PRJEB47693	True	Puccinia graminis f. sp. tritici	Puccinia graminis	32.57	puccinia graminis f. sp. tritici	all_match	Wheat stem rust recorded for the first time in decades in Ireland.
mal	ERR4315241	SAMEA7035883	PRJEB39201	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR3170276	SAMEA5366398	PRJEB31334	True	Puccinia striiformis	Puccinia striiformis	1.61	puccinia striiformis f. sp. tritici	all_match	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR4315495	SAMEA7036137	PRJEB39201	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR8571416	SAMEA12991603	PRJEB50522	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	RNA-seq data of Puccinia striiformis f. sp. tritici infection of wheat
mal	SRR5010598	SAMN05859613	PRJNA347320	True	Puccinia graminis f. sp. tritici			puccinia graminis f. sp. tritici	stat_undetected	two isolates of Puccinia graminis separately infecting Triticum aestivum cv. Morocco Raw sequence reads
mal	ERR6548344	SAMEA9533650	PRJEB46918	True	Phakopsora pachyrhizi			phakopsora pachyrhizi	stat_undetected	Genome and transcriptome sequencing of Asian Soybean Rust, Phakopsora pachyrhizi
mal	ERR4315566	SAMEA7036209	PRJEB39201	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	SRR34575250	SAMN50010391	PRJNA1292970	True	Puccinia graminis f. sp. tritici	Puccinia graminis	40.67		all_match	Sequencing of wheat stem rust isolates from Argentina and Uruguay
mal	SRR1171043	SAMN02642558	PRJNA86753	True	Fulvia fulva			dothistroma septosporum	stat_undetected	
mal	ERR1607764	SAMEA4415682	PRJEB15280	True	Puccinia striiformis			puccinia striiformis f. sp. tritici	stat_undetected	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity.
mal	SRR28258167	SAMN40299597	PRJNA1085269	True	Aspergillus flavus	Aspergillus flavus	8.63		all_match	RNA-Seq of A. flavus at different temperature, water activity, and CO2 levels
mal	SRR9824952	SAMN12347574	PRJNA556310	True	Epichloe festucae Fl1	Epichloe festucae var. lolii	0.29		all_match	Insights into establishment of a plant-endophyte symbiotic association using transcriptomics
mal	ERR136940	SAMEA1468517	PRJEB3069	True	Blumeria graminis			blumeria graminis	stat_undetected	Transcription profiling by high throughput of Blumeria gramis during infection of Barley
mal	ERR6847873	SAMEA9973406	PRJEB47693	True	Puccinia graminis f. sp. tritici			puccinia graminis f. sp. tritici	stat_undetected	Wheat stem rust recorded for the first time in decades in Ireland.
mal	SRR18253511	SAMN26502439	PRJNA813432	True	Heterodera glycines				stat_undetected	
mal	SRR26897272	SAMN38342034	PRJNA1043471	True	Bipolaris maydis	Bipolaris maydis	53.5	cochliobolus heterostrophus	meta_conflict	Infection-specific transcriptional patterns of the maize pathogen Cochliobolus heterostrophus
mal	SRR28258111	SAMN40299521	PRJNA1085269	True	Aspergillus flavus	Aspergillus flavus	2.7		all_match	RNA-Seq of A. flavus at different temperature, water activity, and CO2 levels
mal	SRR3750697	SAMN05363422	PRJNA328045	True	Plenodomus lingam			leptosphaeria maculans	stat_undetected	Comparative Transcriptomic Analysis of Virulence Factors in Leptosphaeria maculans during Compatible and Incompatible Interactions with Canola.
mal	SRR21464504	SAMN30662545	PRJNA876621	True	Colletotrichum graminicola	Colletotrichum graminicola	14.27	colletotrichum graminicola	all_match	Colletotrichum graminicola Raw sequence reads
mal	SRR18253592	SAMN26502527	PRJNA813432	True	Heterodera glycines				stat_undetected	
mal	SRR33330098	SAMN47951719	PRJNA1250817	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Rapid tracking of new Puccinia striiformis f. sp. tritici pathotypes using field pathogenomics
mal	SRR18901617	SAMN27749450	PRJNA831271	True	Pseudomonas amygdali pv. tabaci			pseudomonas syringae	stat_undetected	Dual-transcriptomic analysis of Nicotiana benthamiana and two compatible Pseudomonas strains
mal	ERR4315336	SAMEA7035978	PRJEB39201	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR8571407	SAMEA12991594	PRJEB50522	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	RNA-seq data of Puccinia striiformis f. sp. tritici infection of wheat
mal	SRR12969779	SAMN16632573	PRJNA673988	True	Mycosarcoma maydis			ustilago maydis	stat_undetected	Maize-line-specific activity of Ustilago maydis effectors
mal	SRR28258164	SAMN40299599	PRJNA1085269	True	Aspergillus flavus	Aspergillus flavus	7.42		all_match	RNA-Seq of A. flavus at different temperature, water activity, and CO2 levels
mal	DRR438350	SAMD00575528	PRJDB15139	True	Colletotrichum orbiculare			colletotrichum orbiculare	stat_undetected	Transcriptome analysis of Colletotrichum orbiculare during host infection
mal	SRR11679681	SAMN14833325	PRJNA630379	True	Penicillium expansum			penicillium expansum	stat_undetected	Discovery and Characterization of Effector Proteins in the Necrotrophic Fungal Pathogen, Penicillium expansum
mal	SRR11679695	SAMN14833339	PRJNA630379	True	Penicillium expansum	Penicillium expansum	21.38	penicillium expansum	all_match	Discovery and Characterization of Effector Proteins in the Necrotrophic Fungal Pathogen, Penicillium expansum
