label	species	n_single	n_multi	n_confirmed	family
Stylosanthes_guianensis	Stylosanthes guianensis	1	1	2	Fabaceae
Brassica_juncea	Brassica juncea	20	1	21	Brassicaceae
Prunus_avium	Prunus avium	16	0	16	Rosaceae
Avena_sativa	Avena sativa	19	0	19	Poaceae
Zea_mays_subsp__mays	Zea mays subsp. mays	62	0	62	Poaceae
Castanea_dentata	Castanea dentata	9	0	9	
Castanea_mollissima	Castanea mollissima	20	0	20	
Lilium_lancifolium	Lilium lancifolium	6	0	6	
Beta_vulgaris_subsp__vulgaris	Beta vulgaris subsp. vulgaris	9	0	9	
Brassica_rapa_subsp__pekinensis	Brassica rapa subsp. pekinensis	5	0	5	Brassicaceae
Oryza_sativa_Indica_Group	Oryza sativa Indica Group	35	0	35	Poaceae
Musa_acuminata_AAA_Group	Musa acuminata AAA Group	7	0	7	Musaceae
Solanum_chacoense	Solanum chacoense	4	0	4	Solanaceae
Solanum_microdontum	Solanum microdontum	2	0	2	Solanaceae
Kalanchoe_fedtschenkoi	Kalanchoe fedtschenkoi	2	0	2	
Populus_x_canadensis	Populus x canadensis	2	0	2	
Rosa_hybrid_cultivar	Rosa hybrid cultivar	10	0	10	Rosaceae
Dianthus_caryophyllus	Dianthus caryophyllus	16	0	16	
Brassica_rapa_subsp__chinensis	Brassica rapa subsp. chinensis	3	0	3	Brassicaceae
Solanum_pimpinellifolium	Solanum pimpinellifolium	6	0	6	Solanaceae
Allium_cepa	Allium cepa	7	0	7	Amaryllidaceae
Saccharum_officinarum	Saccharum officinarum	6	0	6	Poaceae
Triticum_carthlicum	Triticum carthlicum	2	0	2	Poaceae
Actinidia_deliciosa	Actinidia deliciosa	2	0	2	Actinidiaceae
Olea_europaea	Olea europaea	9	0	9	
Eragrostis_curvula	Eragrostis curvula	1	0	1	Poaceae
Triticum_turgidum_subsp__dicoccum	Triticum turgidum subsp. dicoccum	7	0	7	Poaceae
Citrus_junos	Citrus junos	2	0	2	Rutaceae
Camellia_oleifera	Camellia oleifera	16	0	16	
Lilium_davidii	Lilium davidii	3	0	3	
Secale_cereale	Secale cereale	2	0	2	Poaceae
Lilium_pumilum	Lilium pumilum	11	0	11	
