Mode: HAL
NCBI_API_KEY set: yes
Runs from 01_sra:    559,328
STAT cache (shared): 304,311 entries total, 255,893 for this mode already cached
  Fetching STAT for 303,435 runs …
  [62,800/303,435] fetched  09:10:43
  [63,000/303,435] fetched  09:11:04
  [63,200/303,435] fetched  09:11:23
  [63,400/303,435] fetched  09:11:41
  [63,600/303,435] fetched  09:11:59
  [63,800/303,435] fetched  09:12:18
  [64,000/303,435] fetched  09:12:40
  [64,200/303,435] fetched  09:12:57
  STAT error ERR13658516: Failed after 5 retries: https://trace.ncbi.nlm.nih.gov/Traces/sra-db-be/run_taxonomy?acc=ERR13658516&cluster_name=public
  [64,400/303,435] fetched  09:13:17
  [64,600/303,435] fetched  09:13:38
  [64,800/303,435] fetched  09:13:56
  [65,000/303,435] fetched  09:14:13
  [65,200/303,435] fetched  09:14:35
  [65,400/303,435] fetched  09:14:57
  [65,600/303,435] fetched  09:15:16
  [65,800/303,435] fetched  09:15:36
  [66,000/303,435] fetched  09:15:57
  [66,200/303,435] fetched  09:16:15
  [66,400/303,435] fetched  09:16:33
  [66,600/303,435] fetched  09:16:51
  [66,800/303,435] fetched  09:17:09
  [67,000/303,435] fetched  09:17:27
  [67,200/303,435] fetched  09:17:45
  [67,400/303,435] fetched  09:18:09
  [67,600/303,435] fetched  09:18:30
  [67,800/303,435] fetched  09:18:49
  [68,000/303,435] fetched  09:19:13
  [68,200/303,435] fetched  09:19:28
  [68,400/303,435] fetched  09:19:45
  [68,600/303,435] fetched  09:20:03
  [68,800/303,435] fetched  09:20:20
  [69,000/303,435] fetched  09:20:40
  [69,200/303,435] fetched  09:20:58
  [69,400/303,435] fetched  09:21:19
  [69,600/303,435] fetched  09:21:37
  [69,800/303,435] fetched  09:21:56
  [70,000/303,435] fetched  09:22:16
  [70,200/303,435] fetched  09:22:36
  [70,400/303,435] fetched  09:22:52
  [70,600/303,435] fetched  09:23:08
  [70,800/303,435] fetched  09:23:28
  [71,000/303,435] fetched  09:23:43
  [71,200/303,435] fetched  09:24:00
  [71,400/303,435] fetched  09:24:17
  [71,600/303,435] fetched  09:24:38
  [71,800/303,435] fetched  09:24:56
  [72,000/303,435] fetched  09:25:12
  [72,200/303,435] fetched  09:25:31
  [72,400/303,435] fetched  09:25:48
  [72,600/303,435] fetched  09:26:05
  [72,800/303,435] fetched  09:26:22
  [73,000/303,435] fetched  09:26:40
  [73,200/303,435] fetched  09:26:59
  [73,400/303,435] fetched  09:27:15
  [73,600/303,435] fetched  09:27:32
  [73,800/303,435] fetched  09:27:50
  [74,000/303,435] fetched  09:28:09
  [74,200/303,435] fetched  09:28:27
  [74,400/303,435] fetched  09:28:43
  [74,600/303,435] fetched  09:29:02
  [74,800/303,435] fetched  09:29:22
  [75,000/303,435] fetched  09:29:42
  [75,200/303,435] fetched  09:30:00
  [75,400/303,435] fetched  09:30:17
  [75,600/303,435] fetched  09:30:37
  [75,800/303,435] fetched  09:30:56
  [76,000/303,435] fetched  09:31:16
  [76,200/303,435] fetched  09:31:38
  [76,400/303,435] fetched  09:31:59
  [76,600/303,435] fetched  09:32:20
  [76,800/303,435] fetched  09:32:38
  [77,000/303,435] fetched  09:33:07
  [77,200/303,435] fetched  09:33:25
  [77,400/303,435] fetched  09:33:43
  [77,600/303,435] fetched  09:34:01
  [77,800/303,435] fetched  09:34:26
  [78,000/303,435] fetched  09:34:46
  [78,200/303,435] fetched  09:35:04
  [78,400/303,435] fetched  09:35:28
  [78,600/303,435] fetched  09:35:44
  [78,800/303,435] fetched  09:36:00
  [79,000/303,435] fetched  09:36:21
  [79,200/303,435] fetched  09:36:42
  [79,400/303,435] fetched  09:37:05
  [79,600/303,435] fetched  09:37:28
  [79,800/303,435] fetched  09:37:49
  [80,000/303,435] fetched  09:38:06
  [80,200/303,435] fetched  09:38:25
  [80,400/303,435] fetched  09:38:44
  [80,600/303,435] fetched  09:39:06
  [80,800/303,435] fetched  09:39:30
  [81,000/303,435] fetched  09:39:55
  [81,200/303,435] fetched  09:40:13
