Run	BioProject	SRAStudy	Platform	ScientificName	host	host_pct	host_species_pct	primary_pathogen	primary_taxid	primary_pct	secondary_pathogens	secondary_kingdoms	n_secondary	known_interaction	co_infection_flag	same_genus_secondary	fungi_pct	virus_pct	bacteria_pct	oomycete_pct	nematode_pct	analyzed
SRR12054323	PRJNA640476	SRP267998	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	85.43		Alternaria alternata	5599	3.76			0	False	single	False	9.27335170166867	0.00043794123704481337	0.3143248238951297	8.998792542016712e-06	0.0008458864989495709	33337806
SRR24019262	PRJNA950405	SRP430166	ILLUMINA	Glycine max	Glycine max	0.01		Pantoea ananatis	553	21.99			0	False	single	False	0.0003121052008541873	0.0008137028450841313	97.42561139736856	0.0	0.0	8971334
SRR36610581	PRJNA1394627	SRP658250	ILLUMINA	Malus domestica	Malus domestica	90.17		Penicillium expansum	27334	3.15			0	True	single	False	4.487428971162012	0.7568079824131537	0.4230419607887147	0.0	0.0	20049075
SRR36790446	PRJNA1399633	SRP661552	ILLUMINA	Citrus junos	Citrus junos	88.72		Potexvirus citriflavivenae	3433772	5.09			0	True	single	False	0.005778197136620495	6.208776644684696	0.4800772488392411	0.0	0.0	27932588
SRR6925828	PRJNA445615	SRP136913	ILLUMINA	Zea mays	Zea mays	81.04		Alternaria alternata	5599	1.64			0	False	single	False	1.9936208162712732	0.00012836969207369488	0.06401204068213284	0.0	0.0	20254002
SRR17916426	PRJNA804213	SRP358739	ILLUMINA	Lactuca sativa	Lactuca sativa	46.63		Botrytis cinerea	40559	22.82			0	True	single	False	32.35802737326477	0.00026406568790270356	0.3177195244079957	0.0	0.0	18555989
SRR30795870	PRJNA1165236	SRP534731	ILLUMINA	Triticum aestivum	Triticum aestivum	61.1		Wheat streak mosaic virus	31741	16.29			0	True	single	False	4.273717165286513e-05	26.151533115204046	0.9612463229541405	0.0	0.0	53817319
SRR24737301	PRJNA972519	SRP439531	ILLUMINA	Triticum aestivum	Triticum aestivum	83.13		Fusarium graminearum	5518	3.14			0	True	single	False	6.442669169697014	0.004845979040007999	0.22432307924612646	0.0	0.0	45027021
SRR8078943	PRJNA495475	SRP166137	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	92.77		Botrytis cinerea	40559	1.48			0	True	single	False	1.5279445546604318	0.00010362717755810574	0.06575144416061808	0.0	0.0	36669917
SRR17183619	PRJNA786267	SRP350051	ILLUMINA	Triticum aestivum	Triticum aestivum	69.78		Fusarium graminearum	5518	8.93			0	True	single	False	12.46683450701572	0.00024356310289955026	0.48324061317315603	0.0	0.0	26276558
SRR14673823	PRJNA731024	SRP321728	ILLUMINA	Triticum aestivum	Triticum aestivum	72.44		Fusarium graminearum	5518	1.21			0	True	single	False	1.869214514285732	0.0001822887139692685	0.6511040368044039	0.0	0.0	19200311
SRR13084373	PRJNA679433	SRP293220	ILLUMINA	Nicotiana tabacum	Nicotiana tabacum	94.37		Phytophthora parasitica	4792	1.09			0	True	single	False	0.0006054222706141117	4.350339669083437e-05	0.28068391544926335	1.125316863334043	0.0	27584053
SRR10161820	PRJNA573599	SRP222931	ILLUMINA	Zea mays	Zea mays	43.29		Trichoderma virens Gv29-8	413071	5.32			0	True	single	False	8.135491568835675	0.041855706679562295	0.7986022176914721	0.0	0.0	10287725
SRR11364566	PRJNA613891	SRP253604	ILLUMINA	Zea mays	Zea mays	89.02		Fusarium verticillioides 7600	334819	1.46			0	True	single	False	2.6095441265983874	0.00014104660814642894	0.835582377176521	0.0	0.0	26941449
SRR1582140	PRJNA261444	SRP047329	ILLUMINA	Lathyrus oleraceus	Lathyrus oleraceus	6.72		Sclerotinia sclerotiorum	5180	28.41			0	True	single	False	30.37969918623612	0.0	0.0109902665938501	0.0	0.0	16523712
SRR1582148	PRJNA261444	SRP047329	ILLUMINA	Lathyrus oleraceus	Lathyrus oleraceus	8.17		Sclerotinia sclerotiorum	5180	13.39			0	True	single	False	14.273210688510574	0.0	0.005363593084636857	0.0	0.0	12472982
SRR7266150	PRJNA473829	SRP149815	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	23.04		Botrytis cinerea	40559	1.51			0	True	single	False	1.5981090786348235	0.0	0.01271485539845392	0.0	0.0	3507708
SRR34169802	PRJNA1264741	SRP594433	BGISEQ	Nicotiana tabacum	Nicotiana tabacum	63.91		Tobacco vein banding mosaic virus	33765	20.24			0	True	single	False	0.00015758956428340643	23.33469172878006	2.0443535629195186	0.0	0.0	50130223
SRR36292503	PRJNA1217477	SRP561190	ILLUMINA	Cucumis sativus	Cucumis sativus	65.02		Botrytis cinerea	40559	3.73			0	True	single	False	5.192470957750722	2.1606738198341766	5.842150403019886	0.0	0.0	36417806
SRR23261151	PRJNA929034	SRP419852	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	39.4		Pseudomonas aeruginosa	287	1.03			0	True	single	False	8.595028678387563e-05	0.003169416825155414	21.122111076563872	8.595028678387563e-05	0.0	9307706
SRR23261152	PRJNA929034	SRP419852	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	38.93		Pseudomonas aeruginosa	287	1.03			0	True	single	False	4.2620286702406616e-05	0.0027170432772784217	21.526388030859643	3.1965215026804965e-05	0.0	9385202
