Run	fungi_pct	oomycota_pct	nematoda_pct	analyzed
SRR33330118	0.0	0.0	0.0	23875143
SRR1258177	0.0	0.0	0.0	24972463
ERR4315464	0.0	0.0	0.0	18123622
SRR6942184	21.540173605520778	0.0	0.0	41645565
ERR4315179	0.3232021729777582	0.0	0.0	19668494
SRR10201806	10.241098694256666	0.0	0.0	18536185
SRR18253626	0.0	0.0	0.0	49246469
SRR28258096	76.69898252363043	0.0	0.0	17437260
ERR1905215	0.0	0.0	0.0	328206
ERR1224567	0.0	0.0	0.0	14211509
ERR3383634	2.790584864651991	0.0	0.0	26844946
ERR5960068	0.669754340467981	0.0	0.0	17201083
ERR4761828	0.0	0.0	0.0	23568180
ERR1607814	0.7650296474644532	0.0	0.0	24019592
ERR1905214	0.0	0.0	0.0	3883986
SRR6221904	0.0	0.13628257194436175	0.0	38079704
SRR11347471	1.0694465596172678	0.0	0.0	24886330
ERR15005533	27.6007652334392	0.0	0.0	23603255
SRR10897982	0.46477836275994283	0.0	0.0	7198700
SRR18253493	0.0	0.0	0.0	58728440
SRR19880688	6.245990101374245	0.0	0.0	5988306
SRR24010249	5.204062333010728	0.0	0.0	38131192
SRR28258201	10.554952686498902	0.0	0.0	36144757
SRR28728937	1.7623906873727193	0.0	0.0	48623271
SRR33379596	0.0	0.0	0.0	9048429
SRR31200168	0.0	0.0	0.0	36494803
SRR35750202	0.0	0.0	0.0	7678966
SRR6942239	0.5681900805704249	0.0	0.0	50956539
ERR13107205	0.12225807870971338	0.0	0.0	22818124
ERR1224592	0.0	0.0	0.0	22675967
SRR27895709	56.52077316763165	0.0	0.0	18175153
SRR6242055	0.23464437269169255	0.0	0.0	83889930
ERR6548385	0.0	0.0	0.0	33322990
ERR789370	0.0	0.0	0.0	27577933
ERR11403674	0.37874662151528343	0.0	0.0	8419085
ERR6548341	0.0	0.0	0.0	43761434
SRR11214565	4.675409970779356	0.0	0.0	15917171
SRR21386572	0.750690476001547	0.0	0.0	48519065
ERR15005529	7.641841943637025	0.0	0.0	31500573
ERR4315224	0.0	0.0	0.0	21188936
SRR23815958	56.180405859013064	0.0	0.0	24644765
SRR30606508	12.741365931768536	0.0	0.0	45237018
ERR5928172	6.239586039373422	0.0	0.0	15647865
SRR11214582	33.9731658545579	0.0	0.0	14281133
ERR3500506	0.2882687379062438	0.0	0.0	51907467
SRR26501286	6.876998400166294	0.0	0.0	13470150
ERR12013033	40.84831446904115	0.0	0.0	12321162
SRR10406083	0.7117637179851504	0.0	0.0	44979674
SRR11214665	69.38825876508965	0.0	0.0	23314907
SRR12151508	0.0	0.0	0.0	113209054
SRR8569207	0.0	0.0	0.0	239532
SRR8465309	0.0	0.0	0.0	141966967
SRR12969770	1.04141979810745	0.0	0.0	75166518
ERR5928164	0.0	0.0	0.0	16587462
SRR11216262	0.7023498963198831	0.0	0.0	31485304
SRR28258197	80.72727985375465	0.0	0.0	21941210
SRR34414161	0.25060247265778024	0.0	0.0	31965766
SRR13349975	27.5108086828824	0.0	0.0	51157482
SRR18253557	0.0	0.0	0.0	61285984
SRR17893321	37.737270020988255	0.0	0.0	34110504
ERR1607754	1.554506336377005	0.0	0.0	21224037
SRR32908647	0.0	0.0	0.0	33240905
SRR12676679	13.694583132968818	0.0	0.0	45479610
SRR8895008	1.9724427495737742	0.0	0.0	68395648
SRR18253550	0.0	0.0	0.0	59611870
SRR27482759	0.0	0.0	0.0	60456997
SRR12319306	27.378742155217694	0.0	0.0	940434
ERR1607773	0.33297647842136907	0.0	0.0	26357117
SRR34575251	30.02118162940586	0.0	0.0	26905390
SRR28258156	84.14976529056547	0.0	0.0	34540580
ERR868338	0.0	0.0	0.0	36026736
SRR32972606	0.0	0.0	0.0	19540234
ERR1224581	0.0	0.0	0.0	24534136
ERR1224554	0.0	0.0	0.0	17603551
ERR4315245	1.3437031732161535	0.0	0.0	19579473
SRR34575225	35.02699566067029	0.0	0.0	20545339
SRR11347469	0.0	0.0	0.0	16222759
SRR22432914	67.87987774879511	0.0	0.0	61968469
SRR21386557	0.8719966617097985	0.0	0.0	41700389
SRR32908643	0.0	0.0	0.0	71582684
SRR4319124	0.0	0.0	0.0	31505527
SRR29424133	0.41528080678145224	0.0	0.0	159171334
SRR22432916	78.9541404971786	0.0	0.0	58476975
SRR36282005	81.2185645275734	0.0	0.0	33049050
ERR868343	0.0	0.0	0.0	40213348
SRR30606518	0.4368565621696036	0.0	0.0	44490118
ERR15005524	3.769085492947973	0.0	0.0	27871562
SRR8718818	0.0	0.0	0.0	22041030
ERR1954098	0.21592003954827516	0.0	0.0	9038068
SRR6242041	0.0	0.0	0.0	28585986
ERR5696202	0.0	0.0	0.0	4604454
ERR3170256	2.830178358722945	0.0	0.0	21846927
SRR6242047	0.0	0.0	0.0	122898192
SRR16526246	32.8502390184385	0.0	0.0	32111121
ERR6335680	1.8046443194995154	0.0	0.0	51646576
SRR28258162	82.63025802921744	0.0	0.0	24275778
SRR33379560	0.0	0.0	0.0	7421838
DRR858804	15.165258145906545	0.0	0.0	40892901
SRR10130098	0.0	0.0	0.0	5030320
SRR10406074	4.501664200467224	0.0	0.0	43890746
ERR15005464	20.96760367389204	0.0	0.0	23121202
SRR29385652	92.25864377917972	0.0	0.0	17184237
ERR4315168	0.0	0.0	0.0	21339753
SRR18131791	46.336231502534616	0.0	0.0	24235415
SRR28728939	3.912933594654943	0.0	0.0	42246283
SRR34575269	28.76271093238444	0.0	0.0	11220361
SRR11214617	21.243864459031776	0.0	0.0	18421766
ERR4315394	2.587198722379215	0.0	0.0	13227086
SRR8569203	0.0	0.0	0.0	274106
SRR38293566	50.575702662316544	0.0	0.0	5474180
ERR1554631	0.0	0.5694929714307448	0.0	8308092
ERR3500513	0.0	0.0	0.0	43998656
SRR12888336	0.0	0.0	0.0	12271420
SRR19648067	1.0790053125798962	0.0	0.0	47370017
ERR1607782	1.5494959926053715	0.0	0.0	24946757
ERR1607849	0.9470655683535463	0.0	0.0	18387956
ERR3856822	0.6553700122282256	0.0	0.0	20294032
ERR3188479	1.2911484431491227	0.0	0.0	24228043
ERR1224556	0.0	0.0	0.0	43608052
ERR4315164	0.11581506626962715	0.0	0.0	23392466
ERR3188442	4.364645557594451	0.0	0.0	22436988
SRR33379595	0.0	0.0	0.0	10049180
DRR438341	0.20565872007387884	0.0	0.0	125496259
SRR364407	4.750774635001236	0.0	0.0	12498467
SRR364406	4.810554678624971	0.0	0.0	13243795
SRR6942191	13.21523134212835	0.0	0.0	52176597
SRR18253625	0.0	0.0	0.0	58525767
ERR4288691	0.11976154102298947	0.0	0.0	36199434
ERR3170254	4.42656429539369	0.0	0.0	22934559
SRR8718801	1.5810033344680567	0.0	0.0	21749796
SRR9684522	4.160905200861367	0.0	0.0	137709458
SRR11214622	14.182752223629008	0.0	0.0	15109310
SRR32908576	0.0	0.0	0.0	70219909
SRR32174727	0.4554809563099642	0.0	0.0	14046910
ERR1554652	0.0	0.5602651538426638	0.0	7339739
SRR12969783	0.7389390558865336	0.0	0.0	65595802
ERR5696282	0.0	0.0	0.0	4232442
ERR4315625	0.21309902606982145	0.0	0.0	25639723
SRR28258099	64.29469954323204	0.0	0.0	12677115
ERR5696261	0.0	0.0	0.0	4135535
SRR1555738	45.931982042586625	0.0	0.0	32755497
ERR8571383	0.0	0.0	0.0	27991140
SRR1583666	0.3205211002329673	0.0	0.0	29187782
ERR4315349	0.0	0.0	0.0	17762095
SRR4319125	0.0	0.0	0.0	34062238
SRR6059237	0.0	34.359053418516766	0.0	189633120
SRR22756183	0.23578531765692531	0.0	0.0	40550871
ERR1554656	0.0	0.938552667899889	0.0	10237678
ERR1224588	0.0	0.0	0.0	25047985
ERR15005474	9.060799811229565	0.0	0.0	23190072
SRR12900707	0.0	0.0	0.0	4100851
SRR34575233	31.59777970917834	0.0	0.0	36782749
SRR8074959	0.5873526727434378	0.0	0.0	52393394
SRR33826861	0.0	0.0	0.0	42833575
SRR391826	33.95814919432009	0.0	0.0	34114851
DRR857919	19.13779068801535	0.0	0.0	35332511
SRR20324131	0.24394234055907715	0.0	0.0	29750063
ERR8571461	0.0	0.0	0.0	26725901
DRR438352	0.0	0.0	0.0	120070386
ERR4315328	0.3562753494791201	0.0	0.0	21905529
ERR5696219	0.0	0.0	0.0	4654035
SRR33296415	0.0	2.8780450142621365	0.0	22562538
ERR1554643	0.0	3.5685530152790577	0.0	9100103
SRR11347474	0.0	0.0	0.0	34146171
SRR364402	1.8219000372819154	0.0	0.0	13309402
SRR32938323	0.3683065573782639	1.3748714705354883	0.0	78275826
ERR1607810	0.47865641400927006	0.0	0.0	21768015
SRR6242053	0.22835419604898483	0.0	0.0	81215937
ERR5696239	0.0	0.0	0.0	6179421
ERR15005444	15.105098365400629	0.0	0.0	16829139
SRR12969782	0.24296183594461185	0.0	0.0	73144821
ERR4315665	8.129954328573973	0.0	0.0	24472413
ERR5928184	0.0	0.0	0.0	14871572
ERR15005517	14.91451006323598	0.0	0.0	19829059
ERR3500558	1.4001287634346427	0.0	0.0	43493714
ERR4315444	0.0	0.0	0.0	22363821
SRR11216295	0.0	0.0	0.0	43464605
SRR16526243	90.44952786731805	0.0	0.0	31427818
SRR13349958	5.719217835381911	0.0	0.0	56866290
SRR12969780	0.8646869426146031	0.0	0.0	68058273
SRR12682233	0.0	0.0	0.0	1872957
SRR12149188	8.430773300453346	0.0	0.0	39420939
SRR27895698	7.87470045396753	0.0	0.0	18280162
SRR31647330	5.753817581903613	0.0	0.0	8924301
SRR13872295	0.0	0.8729435442341812	0.0	99434609
ERR1607859	0.33401898663153606	0.0	0.0	14926397
SRR27482757	0.0	0.0	0.0	67525058
ERR6335684	1.0939387012860478	0.0	0.0	55176492
SRR31011677	34.89604966423783	0.0	0.0	21075930
SRR1557259	0.23440189319989357	0.0	0.0	29491656
